;Acao;Data;Hora;Descrição;Link
0;GGBR3;15/03/2023;18:32;Fechamento da operação entre GERDAU Next e Newave Energia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1073233&descTipo=IPE&CodigoInstituicao=1
1;GGBR3;01/03/2023;08:57;Plano de Investimentos para 2023;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1066820&descTipo=IPE&CodigoInstituicao=1
2;GGBR3;01/03/2023;08:35;Aumento do Capital Social Mediante Capitalização de Reservas de Lucros com Bonificação de 5% em Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1066810&descTipo=IPE&CodigoInstituicao=1
3;GGBR3;03/02/2023;18:31;Processo Judicial de Natureza Tributária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1055235&descTipo=IPE&CodigoInstituicao=1
4;GGBR3;07/12/2022;09:51;Convite para Reunião Anual Pública - APIMEC;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1038875&descTipo=IPE&CodigoInstituicao=1
5;GGBR3;25/11/2022;18:16;Investimento em nova plataforma de geração de energias renováveis;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1035876&descTipo=IPE&CodigoInstituicao=1
6;GGBR3;09/11/2022;18:33;Decisão CADE;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1030431&descTipo=IPE&CodigoInstituicao=1
7;GGBR3;09/11/2022;07:44;Cancelamento de ações em tesouraria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1030031&descTipo=IPE&CodigoInstituicao=1
8;GGBR3;03/11/2022;19:27;Parceria Estratégica Gerdau Next e Empresas Randon;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1027783&descTipo=IPE&CodigoInstituicao=1
9;GGBR3;03/11/2022;19:16;Padana;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1027756&descTipo=IPE&CodigoInstituicao=1
10;GGBR3;03/10/2022;17:50;Gerdau Aços Longos S.A., a Gerdau Açominas S.A. e outras empresas afiliadas no exterior, celebraram um contrato para disponibilização de uma linha de crédito global comprometida denominada ?Senior Uns;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1019095&descTipo=IPE&CodigoInstituicao=1
11;GGBR3;03/10/2022;10:08;Gerdau Aços Longos S.A., a Gerdau Açominas S.A. e outras empresas afiliadas no exterior, celebraram um contrato para disponibilização de uma linha de crédito global comprometida denominada ?Senior Uns;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1018862&descTipo=IPE&CodigoInstituicao=1
12;GGBR3;26/09/2022;08:55;Programa de Recompra de Ações - Atualização das Corretoras;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1017553&descTipo=IPE&CodigoInstituicao=1
13;GGBR3;20/09/2022;09:55;Participação Live TradeMap;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1016612&descTipo=IPE&CodigoInstituicao=1
14;GGBR3;01/09/2022;23:10;Parceria Estratégica Gerdau Next;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1012643&descTipo=IPE&CodigoInstituicao=1
15;GGBR3;18/08/2022;09:44;Participação painel setorial TC;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1009195&descTipo=IPE&CodigoInstituicao=1
16;GGBR3;18/08/2022;09:44;Apresentação Institutional Agosto/2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1009197&descTipo=IPE&CodigoInstituicao=1
17;GGBR3;08/06/2022;18:16;Fitch Rating;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=988987&descTipo=IPE&CodigoInstituicao=1
18;GGBR3;11/05/2022;18:10;Make-Whole;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=980235&descTipo=IPE&CodigoInstituicao=1
19;GGBR3;05/05/2022;07:59;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=977010&descTipo=IPE&CodigoInstituicao=1
20;GGBR3;11/04/2022;08:41;Make-Whole;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=966074&descTipo=IPE&CodigoInstituicao=1
21;GGBR3;23/02/2022;21:39;Apresentação de resultados referente ao 4º trimestre de 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=946713&descTipo=IPE&CodigoInstituicao=1
22;GGBR3;23/02/2022;12:07;Apresentação de resultados referente ao 4º trimestre de 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=946464&descTipo=IPE&CodigoInstituicao=1
23;GGBR3;23/02/2022;09:00;Apresentação de resultados referente ao 4º trimestre de 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=946396&descTipo=IPE&CodigoInstituicao=1
24;GGBR3;23/02/2022;08:27;Plano de investimentos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=946384&descTipo=IPE&CodigoInstituicao=1
25;GGBR3;01/02/2022;07:49;Meta de redução das emissões de CO2;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=937063&descTipo=IPE&CodigoInstituicao=1
26;GGBR3;22/12/2021;18:08;Créditos Eletrobrás;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=928217&descTipo=IPE&CodigoInstituicao=1
27;GGBR3;14/12/2021;18:11;Novo CFO/DRI;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=925874&descTipo=IPE&CodigoInstituicao=1
28;GGBR3;06/12/2021;08:09;Resultado da oferta de recompra de Bonds;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=922519&descTipo=IPE&CodigoInstituicao=1
29;GGBR3;30/11/2021;18:08;Reorganização societária da subsidiária mexicana;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=921009&descTipo=IPE&CodigoInstituicao=1
30;GGBR3;29/11/2021;10:47;Reunião Pública com Analistas ? APIMEC Gerdau 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=920582&descTipo=IPE&CodigoInstituicao=1
31;GGBR3;19/11/2021;18:19;Resultado Early Tender;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=919030&descTipo=IPE&CodigoInstituicao=1
32;GGBR3;04/11/2021;08:37;Oferta de recompra de Bonds;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=912785&descTipo=IPE&CodigoInstituicao=1
33;GGBR3;13/09/2021;08:40;2021.09.13 - FATO RELEVANTE CRÉDITOS;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=900576&descTipo=IPE&CodigoInstituicao=1
34;GGBR3;19/08/2021;18:09;Fusão Operações México;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=895079&descTipo=IPE&CodigoInstituicao=1
35;GGBR3;06/08/2021;18:29;Gerdau investirá R$ 6 bilhões em Minas Gerais em 5 anos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=890251&descTipo=IPE&CodigoInstituicao=1
36;GGBR3;22/04/2021;08:39;2021.04.22 - Comunicado ao Mercado - Araucária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=856067&descTipo=IPE&CodigoInstituicao=1
37;GGBR3;24/02/2021;08:46;Modificação de Projeções Divulgadas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=835036&descTipo=IPE&CodigoInstituicao=1
38;GGBR3;06/01/2021;09:26;Inclusão na carteira ICO2 B3 e Desempenho CDP;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=820545&descTipo=IPE&CodigoInstituicao=1
39;GGBR3;01/12/2020;08:17;2020.12.01 - Comunicado ao Mercado - Silat;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=812083&descTipo=IPE&CodigoInstituicao=1
40;GGBR3;01/12/2020;08:15;2020.12.01 - Comunicado ao Mercado - Recompra de Bonds;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=812082&descTipo=IPE&CodigoInstituicao=1
41;GGBR3;19/11/2020;09:11;2020.11.19 - FATO RELEVANTE;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=809961&descTipo=IPE&CodigoInstituicao=1
42;GGBR3;16/11/2020;21:11;2020.11.16 - Comunicado ao Mercado - Recompra de Bonds;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=809178&descTipo=IPE&CodigoInstituicao=1
43;GGBR3;28/08/2020;09:23;2020.08.28 - Comunicado ao Mercado - Web Conference;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=788792&descTipo=IPE&CodigoInstituicao=1
44;GGBR3;06/05/2020;08:18;Fato Relevante covid-19;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=759243&descTipo=IPE&CodigoInstituicao=1
45;GGBR3;06/04/2020;18:20;Cancelamento AGO/E 2020;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=752265&descTipo=IPE&CodigoInstituicao=1
46;GGBR3;03/04/2020;17:40;2020.04 - Fato Relevante covid-19;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=751872&descTipo=IPE&CodigoInstituicao=1
47;GGBR3;24/03/2020;08:39;2020.03 - Fato Relevante covid-19;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=747752&descTipo=IPE&CodigoInstituicao=1
48;GGBR3;20/02/2020;18:11;Transcrição da Teleconferência de Resultados;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=740035&descTipo=IPE&CodigoInstituicao=1
49;GGBR3;27/11/2019;08:31;Aquisição Siderúrgica Latino-Americana S.A. (Silat);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=723146&descTipo=IPE&CodigoInstituicao=1
50;GGBR3;14/11/2019;20:28;Emissão de Bond;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=721817&descTipo=IPE&CodigoInstituicao=1
51;GGBR3;31/10/2019;17:26;Atualização da Política de Divulgação de Informações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=718453&descTipo=IPE&CodigoInstituicao=1
52;GGBR3;07/08/2019;07:51;Modificação de Projeções Divulgadas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=704062&descTipo=IPE&CodigoInstituicao=1
