;Acao;Data;Hora;Descrição;Link
0;INTB3;08/08/2025;17:01;Fitch reafirma Rating AA-(bra) à Intelbras com perspectiva estável;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1410596&descTipo=IPE&CodigoInstituicao=1
1;INTB3;14/07/2025;19:32;Alteração de Estrutura;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1400795&descTipo=IPE&CodigoInstituicao=1
2;INTB3;19/03/2025;18:30;Sucessão Presidência do Conselho;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1348864&descTipo=IPE&CodigoInstituicao=1
3;INTB3;06/03/2025;18:17;Planejamento Sucessório;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1343163&descTipo=IPE&CodigoInstituicao=1
4;INTB3;29/01/2025;18:09;Captação de recursos junto ao BNDES;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1328551&descTipo=IPE&CodigoInstituicao=1
5;INTB3;08/10/2024;18:00;Planejamento Sucessório;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1289627&descTipo=IPE&CodigoInstituicao=1
6;INTB3;03/10/2024;18:06;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1288194&descTipo=IPE&CodigoInstituicao=1
7;INTB3;14/08/2024;18:22;Reafirmação Rating;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1271825&descTipo=IPE&CodigoInstituicao=1
8;INTB3;22/04/2024;18:07;Alteração do Banco Escriturador de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1224279&descTipo=IPE&CodigoInstituicao=1
9;INTB3;11/03/2024;18:09;Captação de recursos junto ao BNDES;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1205870&descTipo=IPE&CodigoInstituicao=1
10;INTB3;24/10/2023;17:51;Intelbras anuncia acordo de cooperação com a FiberHome;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1153840&descTipo=IPE&CodigoInstituicao=1
11;INTB3;09/10/2023;18:56;Comunicado sobre Aquisição de 55% do capital social de holding colombiana;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1149926&descTipo=IPE&CodigoInstituicao=1
12;INTB3;12/09/2023;11:50;Rating Inicial;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1142547&descTipo=IPE&CodigoInstituicao=1
13;INTB3;12/09/2023;11:50;Relatório Agencia de Risco;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1142548&descTipo=IPE&CodigoInstituicao=1
14;INTB3;13/03/2023;18:31;Alteração do calendário de eventos corporativos da Companhia.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1072271&descTipo=IPE&CodigoInstituicao=1
15;INTB3;30/11/2022;19:05;Redução do preço de aquisição da Renovigi;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1036988&descTipo=IPE&CodigoInstituicao=1
16;INTB3;27/10/2022;18:25;Emissão de Debêntures - Liquidação;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1025192&descTipo=IPE&CodigoInstituicao=1
17;INTB3;17/10/2022;19:45;Autorização para Negociação dos Valores Mobiliários em Mercados (Nacional ou Estrangeiro);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1022612&descTipo=IPE&CodigoInstituicao=1
18;INTB3;05/09/2022;21:57;Estrutura Gerencial;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1013163&descTipo=IPE&CodigoInstituicao=1
19;INTB3;29/04/2022;18:20;Fechamento da operação para aquisição da Renovigi;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=974123&descTipo=IPE&CodigoInstituicao=1
20;INTB3;04/03/2022;18:19;Alteração de data da AGOE;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=950277&descTipo=IPE&CodigoInstituicao=1
