;Acao;Data;Hora;Descrição;Link
0;MDIA3;31/05/2023;17:26;Comunicado ao Mercado - Evento Online (Bastter);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1108225&descTipo=IPE&CodigoInstituicao=1
1;MDIA3;29/05/2023;21:48;Comunicado ao Mercado - Evento Online (BM&C);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1107500&descTipo=IPE&CodigoInstituicao=1
2;MDIA3;20/04/2023;18:25;Substituição de Banco Escriturador;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1088295&descTipo=IPE&CodigoInstituicao=1
3;MDIA3;03/04/2023;08:46;Evento Online (Bastter);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1081531&descTipo=IPE&CodigoInstituicao=1
4;MDIA3;13/02/2023;18:08;Evento Online (Bastter);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1059819&descTipo=IPE&CodigoInstituicao=1
5;MDIA3;02/01/2023;18:10;M. Dias Branco compõe carteira do Índice Carbono Eficiente (ICO2 B3);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1046043&descTipo=IPE&CodigoInstituicao=1
6;MDIA3;28/12/2022;18:27;https://ri.mdiasbranco.com.br/;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1045106&descTipo=IPE&CodigoInstituicao=1
7;MDIA3;22/11/2022;15:17;Evento Online (Bastter);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1034826&descTipo=IPE&CodigoInstituicao=1
8;MDIA3;21/11/2022;18:12;Evento Online (Bastter);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1034541&descTipo=IPE&CodigoInstituicao=1
9;MDIA3;31/10/2022;18:18;Aquisição Las Acacias;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1026180&descTipo=IPE&CodigoInstituicao=1
10;MDIA3;21/10/2022;19:44;Evento on-line Genial Investimentos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1023774&descTipo=IPE&CodigoInstituicao=1
11;MDIA3;19/09/2022;18:20;Fitch reafirma rating AAA com perspectiva estável;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1016448&descTipo=IPE&CodigoInstituicao=1
12;MDIA3;31/08/2022;18:22;Closing Jasmine;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1012137&descTipo=IPE&CodigoInstituicao=1
13;MDIA3;30/08/2022;19:43;Conclusão da parceria com a Omega Geração S.A.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1011866&descTipo=IPE&CodigoInstituicao=1
14;MDIA3;22/08/2022;20:48;Evento Online (Bastter);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1010216&descTipo=IPE&CodigoInstituicao=1
15;MDIA3;12/08/2022;17:31;Evento on-line Infomoney;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1007521&descTipo=IPE&CodigoInstituicao=1
16;MDIA3;10/06/2022;18:07;Parceria Omega Geração S.A;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=989993&descTipo=IPE&CodigoInstituicao=1
17;MDIA3;09/06/2022;18:17;Aquisição da NUTRITION & SANTE DO BRASIL LTDA titular da marca JASMINE;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=989400&descTipo=IPE&CodigoInstituicao=1
18;MDIA3;23/05/2022;21:41;Evento Online (Bastter);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=984368&descTipo=IPE&CodigoInstituicao=1
19;MDIA3;03/05/2022;19:12;Direito de recesso;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=975989&descTipo=IPE&CodigoInstituicao=1
20;MDIA3;28/04/2022;18:41;Direito de recesso;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=972555&descTipo=IPE&CodigoInstituicao=1
21;MDIA3;13/04/2022;21:44;Evento Online (Bastter);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=967269&descTipo=IPE&CodigoInstituicao=1
22;MDIA3;20/03/2022;15:50;Evento on-line Infomoney;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=956164&descTipo=IPE&CodigoInstituicao=1
23;MDIA3;09/02/2022;19:08;Distribuição extraordinária de Juros sobre o Capital Próprio ? JSCP;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=940665&descTipo=IPE&CodigoInstituicao=1
24;MDIA3;07/02/2022;18:22;Alteração Valor Final de JSCP Extraordinário por Ação;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=939514&descTipo=IPE&CodigoInstituicao=1
25;MDIA3;04/02/2022;18:41;Distribuição extraordinária de Juros sobre o Capital Próprio ? JSCP;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=939115&descTipo=IPE&CodigoInstituicao=1
26;MDIA3;22/12/2021;15:34;Novos assentos para a Diretoria Estatutária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=928155&descTipo=IPE&CodigoInstituicao=1
27;MDIA3;21/12/2021;18:07;Novos assentos para a Diretoria Estatutária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=927882&descTipo=IPE&CodigoInstituicao=1
28;MDIA3;16/12/2021;18:24;M. Dias Branco compõe ISE B3 2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=926614&descTipo=IPE&CodigoInstituicao=1
