;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-9.29%;-3.94%;6.56%;-11.54%;5.22%;14.88%;2.88%;6.29%;-4.61%;11.72%;4.32%;9.47%;32.14%
2001;1.62%;-7.98%;-0.58%;0.58%;9.83%;-1.05%;1.06%;-7.89%;-8.57%;15.62%;-5.41%;0.00%;-5.41%
2002;-0.57%;12.07%;-5.13%;1.62%;-6.91%;-14.29%;-21.33%;18.64%;-15.71%;26.27%;-4.70%;9.86%;-10.86%
2003;-3.85%;-2.67%;25.34%;-2.19%;2.79%;-2.17%;2.78%;9.73%;-1.48%;5.50%;5.69%;13.45%;62.18%
2004;1.98%;0.78%;-3.85%;-2.40%;-3.28%;8.05%;-1.96%;2.00%;7.06%;7.33%;1.71%;17.45%;38.34%
2005;-4.57%;15.27%;9.61%;-8.77%;-1.30%;-5.26%;2.78%;10.81%;21.95%;-10.00%;6.67%;-2.08%;34.29%
2006;21.28%;3.51%;-5.08%;1.79%;-7.02%;1.89%;3.70%;-1.79%;0.00%;9.09%;-0.00%;8.33%;38.30%
2007;3.08%;-5.95%;-3.17%;11.48%;11.76%;1.32%;3.90%;0.00%;7.50%;5.79%;-3.19%;-2.27%;32.45%
2008;-18.59%;14.48%;-7.29%;14.09%;4.11%;-13.45%;5.64%;-13.88%;14.23%;-26.63%;-4.95%;-1.73%;-36.73%
2009;-7.30%;-4.32%;14.76%;14.22%;5.22%;-2.12%;6.97%;8.05%;8.57%;-5.75%;10.91%;0.98%;58.59%
2010;-3.12%;0.45%;4.47%;-1.55%;-7.40%;-6.11%;17.50%;-2.57%;5.33%;2.96%;-2.33%;0.04%;5.56%
2011;-6.42%;4.22%;4.77%;0.68%;-3.74%;1.62%;-10.71%;-6.20%;0.13%;11.82%;-3.47%;-0.74%;-9.59%
2012;12.93%;3.97%;-3.14%;-10.88%;-3.96%;-1.91%;11.99%;0.52%;-3.70%;-2.33%;9.47%;8.26%;19.80%
2013;7.53%;1.72%;7.80%;-5.97%;1.98%;-7.55%;-1.52%;-1.23%;7.26%;8.38%;-6.21%;-3.10%;7.41%
2014;-6.31%;7.55%;9.79%;7.70%;-5.87%;3.10%;9.70%;13.22%;-15.53%;4.09%;4.70%;-5.51%;24.92%
2015;-6.74%;11.74%;-1.64%;7.85%;-6.39%;2.36%;-5.56%;-10.75%;-2.21%;1.20%;2.24%;-2.16%;-11.61%
2016;-7.92%;3.43%;17.69%;7.02%;-10.80%;2.22%;12.82%;6.10%;1.65%;17.60%;-8.18%;-0.25%;43.36%
2017;7.22%;11.36%;-3.50%;0.90%;-5.18%;0.85%;1.71%;9.13%;7.70%;0.09%;-3.37%;2.00%;31.11%
2018;17.69%;3.13%;3.54%;-2.25%;-13.33%;-6.01%;11.47%;-4.93%;0.84%;12.49%;9.24%;-2.54%;28.08%
2019;9.44%;-3.14%;-4.00%;-1.63%;2.64%;3.44%;-3.90%;0.85%;0.79%;3.54%;-3.84%;7.09%;10.70%
2020;-8.04%;-1.08%;-22.78%;-0.29%;-0.20%;9.46%;3.81%;-9.13%;-5.17%;2.88%;17.28%;8.74%;-10.21%
2021;-7.33%;-8.87%;7.73%;-2.30%;8.90%;0.70%;2.79%;4.67%;-5.64%;-22.07%;-3.07%;-4.94%;-28.95%
2022;15.82%;-1.04%;8.20%;-14.85%;11.65%;-12.74%;3.93%;10.72%;6.32%;8.16%;-11.35%;-0.49%;20.10%
2023;-1.47%;0.87%;-1.66%;4.98%;1.35%;10.88%;1.01%;-5.75%;0.14%;-1.40%;17.87%;8.85%;39.06%
2024;-3.23%;9.15%;3.05%;-8.70%;-1.29%;5.25%;3.73%;9.30%;-0.28%;-3.89%;-5.48%;-4.59%;1.17%
2025;10.89%;0.99%;6.91%;12.11%;7.43%;-0.05%;-4.98%;10.28%;0.00%;0.00%;0.00%;0.00%;51.02%
