;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;37.96%;-13.91%;1.42%;-21.63%;-40.95%;49.50%;-20.17%;8.42%;-4.85%;-7.35%;-27.31%;7.58%;-51.88%
2001;29.58%;6.52%;-29.59%;-26.38%;-21.65%;4.52%;-8.17%;25.65%;-9.58%;28.57%;16.85%;23.93%;32.24%
2002;25.00%;21.78%;8.95%;12.69%;-14.97%;-12.77%;-1.79%;12.73%;-6.45%;6.05%;14.63%;30.50%;92.91%
2003;-6.41%;-3.02%;31.62%;7.83%;-5.91%;19.19%;1.50%;25.95%;22.84%;-0.81%;20.72%;22.09%;126.32%
2004;-16.42%;1.96%;4.65%;-8.12%;3.20%;1.94%;10.95%;21.97%;5.78%;2.69%;-5.48%;11.54%;35.26%
2005;-6.90%;25.66%;-5.89%;-4.47%;4.22%;1.80%;4.64%;-8.65%;19.56%;-8.74%;30.21%;16.81%;63.42%
2006;18.88%;7.66%;0.55%;-5.04%;472.60%;-7.41%;6.67%;15.62%;-4.43%;9.44%;8.32%;14.13%;573.31%
2007;3.01%;-0.43%;5.72%;-0.40%;12.33%;6.28%;7.92%;-99.99%;14.88%;7.67%;-12.33%;-10.24%;-63.19%
2008;-14.15%;15.36%;-15.03%;-8.81%;9.66%;-19.54%;13.33%;-13.19%;-19.17%;-28.62%;7.38%;-2.03%;-60.56%
2009;1.91%;-11.58%;15.22%;38.67%;4.67%;-2.55%;14.38%;7.14%;6.31%;-3.01%;25.00%;7.10%;99.89%
2010;-14.81%;-1.74%;2.06%;-2.42%;-4.10%;5.48%;14.68%;-1.40%;4.67%;18.28%;-11.15%;-5.78%;5.44%
2011;-12.48%;0.07%;2.37%;2.56%;13.93%;-3.19%;-7.46%;11.41%;-9.09%;9.93%;-3.08%;-5.30%;3.51%
2012;18.20%;8.35%;-5.65%;4.19%;-13.32%;9.05%;9.89%;0.89%;8.23%;7.25%;0.00%;0.00%;47.02%
2013;0.07%;0.00%;2.31%;2.19%;-2.43%;-10.17%;2.38%;-4.84%;7.72%;1.84%;-4.10%;-1.07%;-4.41%
2014;-6.46%;-1.56%;15.64%;1.43%;-2.11%;6.09%;2.48%;10.10%;-12.52%;5.26%;16.14%;1.53%;35.01%
2015;-8.84%;5.16%;-0.04%;2.19%;-3.15%;6.27%;-0.92%;-4.90%;-0.33%;3.15%;3.17%;12.53%;19.10%
2016;-3.74%;6.71%;0.48%;-3.67%;-4.12%;4.62%;19.36%;0.42%;4.99%;2.63%;-20.87%;3.79%;13.44%
2017;-1.45%;-1.97%;-0.24%;2.93%;-13.30%;-4.11%;11.93%;13.40%;8.33%;-8.68%;-15.64%;14.97%;5.97%
2018;-0.42%;-0.12%;11.61%;5.89%;-10.93%;-6.19%;8.82%;-14.00%;1.73%;18.46%;4.84%;-0.05%;21.06%
2019;7.37%;-5.51%;-15.77%;-6.26%;2.67%;2.04%;10.20%;3.20%;6.57%;0.15%;11.46%;18.34%;35.18%
2020;6.39%;-3.66%;-32.33%;38.22%;13.55%;13.91%;5.97%;-5.37%;-12.02%;-18.18%;-1.29%;14.65%;20.54%
2021;-7.38%;3.40%;-10.24%;-6.71%;-4.65%;8.50%;-67.15%;-15.94%;-19.13%;0.21%;13.25%;7.68%;-98.20%
2022;11.21%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;11.71%
