;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2013;0.00%;0.00%;3.88%;-0.17%;-0.52%;4.64%;-2.93%;1.72%;-1.69%;-12.24%;10.41%;0.09%;1.63%
2014;-7.56%;-9.13%;-14.50%;-1.11%;-9.26%;11.72%;12.22%;1.76%;-9.19%;2.38%;1.05%;-1.61%;-24.00%
2015;21.87%;3.17%;-6.98%;7.00%;11.68%;-7.95%;-6.82%;-4.00%;1.22%;-4.72%;-3.79%;-0.44%;6.32%
2016;-6.38%;-5.99%;4.50%;11.24%;6.34%;5.36%;34.07%;3.94%;-9.85%;5.35%;4.50%;-3.89%;52.37%
2017;13.50%;-2.42%;5.61%;5.31%;5.51%;-4.44%;19.19%;18.83%;7.31%;5.51%;-5.37%;2.26%;92.71%
2018;-0.34%;12.41%;-9.03%;2.68%;-10.49%;-11.04%;6.88%;-7.11%;-2.85%;25.64%;-5.45%;-0.67%;-5.17%
2019;4.31%;12.95%;14.02%;11.79%;2.34%;-0.77%;30.34%;39.08%;-11.39%;11.87%;0.17%;41.05%;287.20%
2020;2.73%;-10.57%;-30.16%;38.49%;-9.92%;-1.89%;25.21%;3.53%;-13.07%;-4.29%;6.27%;6.58%;-4.08%
2021;-6.89%;0.55%;3.18%;0.35%;3.73%;4.10%;21.83%;-21.59%;-9.96%;-19.71%;-8.95%;6.85%;-29.66%
2022;15.31%;-10.18%;16.00%;-6.39%;3.12%;-17.37%;9.34%;9.99%;-2.36%;10.22%;-18.34%;-10.22%;-9.07%
2023;17.50%;-9.29%;-1.75%;1.14%;25.31%;10.83%;20.53%;2.36%;0.37%;0.00%;0.00%;0.00%;82.17%
