;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2015;0.00%;0.00%;0.00%;0.00%;0.00%;-2.45%;4.72%;-7.82%;-29.15%;16.65%;0.68%;-9.19%;-28.84%
2016;4.34%;-3.96%;25.77%;-3.75%;-0.35%;15.06%;0.08%;-0.08%;14.39%;3.36%;-11.53%;2.57%;49.24%
2017;4.75%;11.28%;13.13%;7.75%;22.86%;-20.00%;7.61%;-13.99%;2.60%;-5.12%;-31.68%;5.11%;-9.64%
2018;16.55%;-9.59%;-10.12%;-5.85%;-23.69%;7.63%;-3.42%;8.23%;-8.77%;-3.21%;-7.28%;0.14%;-37.24%
2019;14.84%;11.68%;-5.45%;10.23%;21.00%;10.29%;8.87%;0.59%;-6.85%;-2.24%;15.41%;12.24%;130.43%
2020;10.62%;-9.73%;-29.99%;1.11%;3.29%;12.63%;-2.54%;3.38%;-14.03%;-2.72%;-1.34%;-8.84%;-37.69%
2021;-4.60%;-18.38%;20.29%;64.13%;11.91%;37.22%;-12.17%;-9.35%;-18.14%;-16.16%;-15.13%;-2.81%;6.40%
2022;3.14%;-12.18%;19.97%;-6.98%;17.36%;-10.24%;-5.96%;8.76%;-1.36%;-2.14%;2.57%;-12.27%;-5.39%
2023;0.71%;-5.24%;-12.11%;0.51%;6.68%;8.06%;-0.00%;-6.19%;-11.17%;-3.62%;16.40%;23.09%;11.85%
2024;-8.14%;-6.76%;16.59%;-0.77%;-14.27%;-4.03%;6.65%;1.31%;-6.48%;0.69%;0.17%;-4.30%;-20.47%
2025;7.18%;1.01%;-0.17%;3.43%;20.44%;8.48%;-3.59%;11.70%;3.93%;-4.81%;0.84%;10.28%;73.05%
2026;11.43%;-1.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;10.31%
