Date;Close;High;Low;Open;Volume;ret;tret;Returns;Target;Vol;MM20;Detrend
2024-09-30;15.497879981994629;15.994357513409344;15.458940622377058;15.546554413613485;4900;;;;-0.013818969700083783;;;
2024-10-01;15.28371524810791;15.643904608707794;15.040343983238715;15.643904608707794;5100;-1.38;-1.38;-0.013818969700083783;-0.010828124082553403;;;
2024-10-02;15.118221282958984;15.819130719397753;15.118221282958984;15.49788075444407;3500;-1.08;-2.46;-0.010828124082553403;-0.003863466216654343;;;
2024-10-03;15.059812545776367;15.507615663162731;14.991667967478103;15.059812545776367;6100;-0.39;-2.85;-0.003863466216654343;-0.004524880000820741;;;
2024-10-04;14.991668701171875;15.23503995234926;14.991668701171875;15.215570735016646;1900;-0.45;-3.3000000000000003;-0.004524880000820741;0.013636406430980852;;;
2024-10-07;15.196101188659668;15.293450064325308;15.089018168137613;15.293450064325308;2600;1.36;-1.9400000000000002;0.013636406430980852;0.007687269204162295;;;
2024-10-08;15.312917709350586;15.4978803684368;15.118220906407931;15.225304844317082;2100;0.77;-1.1700000000000002;0.007687269204162295;-0.024793361150488802;;;
2024-10-09;14.933259010314941;15.47841005251652;14.933259010314941;15.312917539751288;4300;-2.48;-3.6500000000000004;-0.024793361150488802;-0.007170793766029915;;;
2024-10-10;14.826175689697266;15.55628941927655;14.796971400462628;14.933259630870301;4600;-0.72;-4.37;-0.007170793766029915;0.007879201655537349;;;
2024-10-11;14.942994117736816;14.962463333667628;14.738562244331595;14.826175108601621;5200;0.79;-3.58;0.007879201655537349;0.028013069229966492;;;
2024-10-14;15.361593246459961;15.361593246459961;14.514661396486543;14.514661396486543;7200;2.8;-0.7800000000000002;0.028013069229966492;0.010773042969622448;;;
2024-10-15;15.527084350585938;15.527084350585938;15.39079705540747;15.39079705540747;2500;1.08;0.2999999999999998;0.010773042969622448;-0.007523464916375344;;;
2024-10-16;15.410266876220703;15.478410526485654;15.196099924603939;15.439471165136025;5600;-0.75;-0.4500000000000002;-0.007523464916375344;-0.013265930788579072;;;
2024-10-17;15.205835342407227;15.400532153577508;15.020873603892365;15.400532153577508;4300;-1.33;-1.7800000000000002;-0.013265930788579072;-0.012804122606992263;;;
2024-10-18;15.011137962341309;15.390797426025653;14.99166781776835;15.390797426025653;2300;-1.28;-3.0600000000000005;-0.012804122606992263;0.000648525611202766;;;
2024-10-21;15.020873069763184;15.30318366801828;15.011137997453934;15.011137997453934;1700;0.06;-3.0000000000000004;0.000648525611202766;-0.017498398625011125;;;
2024-10-22;14.758031845092773;15.030607373944887;14.738562628654282;15.030607373944887;1400;-1.75;-4.75;-0.017498398625011125;-0.0032981111757749426;;;
2024-10-23;14.709358215332031;14.894320887738369;14.582805052208656;14.894320887738369;4000;-0.33;-5.08;-0.0032981111757749426;0.012574462456917512;;;
2024-10-24;14.894320487976074;15.157160951725658;14.816441763280817;14.826175907577003;5400;1.26;-3.8200000000000003;0.012574462456917512;-0.002614384190579133;;;
2024-10-25;14.85538101196289;15.089017184261;14.796971504694552;14.845645939353563;2100;-0.26;-4.08;-0.002614384190579133;0.014416707817091368;;15.095831394195557;-0.24045038223266602
2024-10-28;15.069546699523926;15.235039216603429;14.816441316097276;14.816441316097276;2900;1.44;-2.64;0.014416707817091368;0.004522020445443253;0.2082;15.074414730072021;-0.004868030548095703
2024-10-29;15.137691497802734;15.225305293810429;14.904055327373959;14.972198978318781;1300;0.45;-2.19;0.004522020445443253;-0.01479101015433737;0.2038;15.067113542556763;0.07057795524597132
2024-10-30;14.913789749145508;15.293449229450532;14.913789749145508;15.089017344422848;2300;-1.48;-3.67;-0.01479101015433737;-0.014360309809759997;0.2069;15.05689196586609;-0.14310221672058177
2024-10-31;14.699623107910156;14.972198633805037;14.602274241611045;14.972198633805037;7700;-1.44;-5.109999999999999;-0.014360309809759997;-0.017218544679035608;0.2124;15.038882493972778;-0.33925938606262207
2024-11-01;14.446516990661621;14.699623303700463;14.427046845787432;14.699623303700463;2500;-1.72;-6.829999999999999;-0.017218544679035608;0.03773585777545163;0.2197;15.011624908447265;-0.5651079177856442
2024-11-04;14.991668701171875;15.050078209945012;14.504926198817104;14.553600634730111;4900;3.77;-3.059999999999999;0.03773585777545163;0.0;0.2558;15.001403284072875;-0.009734582901000266
2024-11-05;14.991668701171875;14.991668701171875;14.806706958767627;14.806706958767627;1400;0.0;-3.059999999999999;0.0;0.008441527378284297;0.254;14.98534083366394;0.00632786750793457
2024-11-06;15.118221282958984;15.264244585093683;14.68988830581661;14.991668125797288;3400;0.84;-2.2199999999999993;0.008441527378284297;-0.006439131388130348;0.2396;14.994588947296142;0.12363233566284215
2024-11-07;15.020873069763184;15.264244307168873;15.020873069763184;15.137691152311405;1800;-0.64;-2.8599999999999994;-0.006439131388130348;-0.020738798136722636;0.2393;15.004323816299438;0.016549253463745472
2024-11-08;14.709358215332031;14.96246454157878;14.212881564171287;14.826176305510304;3800;-2.07;-4.93;-0.020738798136722636;0.04566516337004689;0.2493;14.992642021179199;-0.2832838058471676
2024-11-11;15.381063461303711;15.381063461303711;14.543865752133172;14.699624134769955;6400;4.57;-0.35999999999999943;0.04566516337004689;-0.005063362874525357;0.282;14.993615531921387;0.38744792938232386
2024-11-12;15.303183555603027;15.799660170689009;15.069546463835263;15.371327204492015;15400;-0.51;-0.8699999999999994;-0.005063362874525357;0.018447827199751465;0.2797;14.982420492172242;0.3207630634307854
2024-11-13;15.585494041442871;15.935949212419589;14.96246334845238;15.235038870466154;5900;1.84;0.9700000000000006;0.018447827199751465;0.04309828775453073;0.2863;14.99118185043335;0.5943121910095215
2024-11-14;16.2572021484375;16.2572021484375;15.624435338842085;15.721784221608726;8900;4.31;5.28;0.04309828775453073;-0.03592826665615445;0.3179;15.043750190734864;1.2134519577026364
2024-11-18;15.67310905456543;16.043032541908516;15.439471946259728;15.897010161556647;32600;-3.59;1.6900000000000004;-0.03592826665615445;0.029813478349072442;0.3433;15.07684874534607;0.5962603092193604
2024-11-19;16.140378952026367;16.140378952026367;15.673106663477297;15.673106663477297;1800;2.98;4.67;0.029813478349072442;-0.05307581107387238;0.3567;15.132824039459228;1.007554912567139
2024-11-21;15.28371524810791;15.86780572676136;15.28371524810791;15.86780572676136;3300;-5.31;-0.6399999999999997;-0.05307581107387238;0.008917120825810976;0.4041;15.159108209609986;0.1246070384979241
2024-11-22;15.420001983642578;15.663373224726866;15.420001983642578;15.663373224726866;1900;0.89;0.25000000000000033;0.008917120825810976;-0.006313112884101302;0.4043;15.194640398025513;0.22536158561706543
2024-11-25;15.322653770446777;15.478411222852756;15.244775044243788;15.322653770446777;2600;-0.63;-0.37999999999999967;-0.006313112884101302;0.019059726705108693;0.4037;15.216057062149048;0.10659670829772949
2024-11-26;15.614699363708496;15.643902723637579;15.254509118123377;15.322652766991466;5900;1.91;1.5300000000000002;0.019059726705108693;-0.03865341159049007;0.4079;15.254022979736328;0.3606763839721676
2024-11-27;15.011137962341309;15.429736786783977;14.894319880066337;15.429736786783977;6500;-3.87;-2.34;-0.03865341159049007;-0.04928661229801001;0.4308;15.251102542877197;-0.23996458053588832
2024-11-28;14.271289825439453;14.991668496265323;13.628789879654887;14.991668496265323;25100;-4.93;-7.27;-0.04928661229801001;0.00886763448399197;0.4646;15.207782459259032;-0.9364926338195794
