Date;Close;High;Low;Open;Volume;ret;tret;Returns;Target;Vol;MM20;Detrend
2024-04-30;19.50424575805664;19.585513758726847;19.260443306104207;19.50424575805664;12900;;;;0.013428625241813874;;;
2024-05-02;19.76616096496582;20.18671758124169;19.354015673531013;19.505416312077713;11500;1.34;1.34;0.013428625241813874;-0.0255318816334128;;;
2024-05-03;19.261493682861328;19.85027361726998;19.177382034474913;19.85027361726998;1800;-2.55;-1.2099999999999997;-0.0255318816334128;0.01310046868021919;;;
2024-05-06;19.51382827758789;19.51382827758789;18.756825060000804;18.756825060000804;3900;1.31;0.10000000000000031;0.01310046868021919;-0.03879319697863304;;;
2024-05-07;18.756824493408203;19.50541636326515;18.454024819816347;19.50541636326515;5000;-3.88;-3.7799999999999994;-0.03879319697863304;0.003139116235566064;;;
2024-05-08;18.815704345703125;19.32037101863126;18.807293020581493;19.32037101863126;1900;0.31;-3.4699999999999993;0.003139116235566064;-0.012516867974042833;;;
2024-05-09;18.580190658569336;18.92504694115333;18.378323683712566;18.92504694115333;4700;-1.25;-4.719999999999999;-0.012516867974042833;0.0009053140466572795;;;
2024-05-10;18.59701156616211;18.891399874243913;18.54654362395155;18.63065525667319;5700;0.09;-4.629999999999999;0.0009053140466572795;-0.004974979974749161;;;
2024-05-13;18.504491806030273;18.6474811250669;18.319447465516614;18.630658474757595;2900;-0.5;-5.129999999999999;-0.004974979974749161;-0.015909198434951977;;;
2024-05-14;18.210100173950195;18.50449011019894;18.210100173950195;18.50449011019894;4500;-1.59;-6.719999999999999;-0.015909198434951977;-0.021246971799570913;;;
2024-05-15;17.823190689086914;18.16804700238325;17.671790043386814;18.16804700238325;6800;-2.12;-8.84;-0.021246971799570913;-0.010382380623437215;;;
2024-05-16;17.63814353942871;17.915710836182082;17.242820905960613;17.915710836182082;14100;-1.04;-9.879999999999999;-0.010382380623437215;0.035288474130267256;;;
2024-05-17;18.26056671142578;18.26056671142578;17.108242531543326;17.848421437984193;6100;3.53;-6.35;0.035288474130267256;-0.0032242174368453114;;;
2024-05-20;18.201690673828125;18.47925798912841;17.40263402883458;18.47925798912841;2400;-0.32;-6.67;-0.0032242174368453114;-0.0018484892687024024;;;
2024-05-21;18.168045043945312;18.168045043945312;18.168045043945312;18.168045043945312;200;-0.18;-6.85;-0.0018484892687024024;-0.010648076992527677;;;
2024-05-22;17.974590301513672;17.974590301513672;17.697023001784924;17.697023001784924;4300;-1.06;-7.91;-0.010648076992527677;-0.008422979878100922;;;
2024-05-23;17.823190689086914;17.974591334787014;17.671790043386814;17.974591334787014;2300;-0.84;-8.75;-0.008422979878100922;-0.011326145849664293;;;
2024-05-24;17.621322631835938;17.747489294199504;17.125065702815906;17.57926600818398;3100;-1.13;-9.879999999999999;-0.011326145849664293;-0.0028640554332192147;;;
2024-05-27;17.57085418701172;17.629731854164795;17.394221185552492;17.629731854164795;2500;-0.29;-10.169999999999998;-0.0028640554332192147;-0.004308314159459203;;;
2024-05-28;17.495153427124023;17.495153427124023;17.16711980170797;17.461509734302513;6300;-0.43;-10.599999999999998;-0.004308314159459203;-0.012980650093284307;;18.4043399810791;-0.9091865539550774
2024-05-29;17.268054962158203;17.47833326689044;17.259643637453376;17.47833326689044;1400;-1.3;-11.899999999999999;-0.012980650093284307;-0.0014613239572962566;0.2462;18.29253044128418;-1.0244754791259751
2024-05-31;17.242820739746094;17.301698407535895;17.15870909820518;17.301698407535895;1000;-0.15;-12.049999999999999;-0.0014613239572962566;-0.033170711634383454;0.2361;18.166363430023193;-0.9235426902770989
2024-06-03;16.67086410522461;17.461510997424377;16.67086410522461;17.032543053921188;8700;-3.32;-15.37;-0.033170711634383454;-0.017154378768591716;0.2456;18.03683195114136;-1.3659678459167495
2024-06-04;16.384885787963867;16.738153418493923;16.384885787963867;16.738153418493923;8700;-1.72;-17.09;-0.017154378768591716;0.0010267276292987848;0.2359;17.880384826660155;-1.4954990386962876
2024-06-05;16.401708602905273;16.83067655888142;16.38488595264043;16.38488595264043;2900;0.1;-16.99;0.0010267276292987848;0.07589735765538697;0.2091;17.76262903213501;-1.3609204292297363
2024-06-06;17.646554946899414;17.646554946899414;16.494230735450884;16.82226437743612;700;7.59;-9.399999999999999;0.07589735765538697;-0.023355476948083043;0.3595;17.704171562194823;-0.057616615295408735
