Date;Close;High;Low;Open;Volume;ret;tret;Returns;Target;Vol;MM20;Detrend
2025-10-27;85.95975494384766;86.82252862443566;85.74158176719321;85.92008640572867;2770000;;;;0.031033689162705214;;;
2025-10-28;88.62740325927734;89.11332959847226;85.79116716634401;85.79116716634401;7396400;3.1;3.1;0.031033689162705214;-0.015217571519168582;;;
2025-10-29;87.2787094116211;89.13316636506514;86.92170011840184;88.77615707184589;3810100;-1.52;1.58;-0.015217571519168582;-0.0013635733857119137;;;
2025-10-30;87.15969848632812;87.64562483018616;86.53493604422493;86.92169482733642;6212200;-0.14;1.44;-0.0013635733857119137;-0.010240107925319264;;;
2025-10-31;86.26717376708984;87.76462887542161;85.72174840972382;87.69521082753866;3652100;-1.02;0.41999999999999993;-0.010240107925319264;0.0;;;
2025-11-03;86.26717376708984;86.26717376708984;86.26717376708984;86.26717376708984;0;0.0;0.41999999999999993;0.0;-0.03287733818710914;;;
2025-11-04;83.43093872070312;86.47542897118926;82.32024994095565;83.83753555328916;6208200;-3.29;-2.87;-0.03287733818710914;0.03661007401609084;;;
2025-11-05;86.4853515625;86.50518961495612;82.80617969590726;83.43094216027201;4385700;3.66;0.79;0.03661007401609084;-0.022589214637368626;;;
2025-11-06;84.5317153930664;86.85227562697592;84.1945441777974;85.83083538942593;2583300;-2.26;-1.4699999999999998;-0.022589214637368626;0.012435579495946758;;;
2025-11-07;85.58291625976562;87.1101133836019;84.80939110569255;85.54324772114649;7506700;1.24;-0.22999999999999976;0.012435579495946758;0.0023175346003270203;;;
2025-11-10;85.78125762939453;87.03079020582891;85.63250249024748;85.9795927709235;3337000;0.23;2.498001805406602e-16;0.0023175346003270203;0.0041617745900059955;;;
2025-11-11;86.13825988769531;87.44729138626171;85.1862376674652;85.7713315832941;4568000;0.42;0.42000000000000026;0.0041617745900059955;-0.028321444381440575;;;
2025-11-12;83.69869995117188;86.42584948558446;83.00451189372146;85.83083655491261;5587600;-2.83;-2.4099999999999997;-0.028321444381440575;-0.010900450259768046;;;
2025-11-13;82.78634643554688;84.79947743037991;82.35991911403052;83.89703522386858;4098900;-1.09;-3.5;-0.010900450259768046;-0.002156212365122645;;;
2025-11-14;82.60784149169922;82.91526319932166;81.64590026539686;82.78634612715739;3790400;-0.22;-3.72;-0.002156212365122645;0.00948365631270165;;;
2025-11-17;83.39126586914062;84.34329558252742;82.64749785718183;82.64749785718183;4343000;0.95;-2.7700000000000005;0.00948365631270165;0.0036866460633140363;;;
2025-11-18;83.69869995117188;84.11520824604219;82.47891701219466;83.00451189372146;3007400;0.37;-2.4000000000000004;0.0036866460633140363;0.023696611183608107;;;
2025-11-19;85.68207550048828;85.92007914308425;83.13343077827489;83.69869415818994;2718200;2.37;-0.03000000000000025;0.023696611183608107;-0.04340279493711818;;;
2025-11-21;81.9632339477539;86.02916411007338;81.48721910548271;85.66223584486434;5226900;-4.34;-4.37;-0.04340279493711818;-0.0015728256827531872;;;
2025-11-24;81.83432006835938;82.85576793009285;81.18972711233371;81.91365714682415;5578200;-0.16;-4.53;-0.0015728256827531872;-0.0032718986465648525;;84.95864181518554;-3.124321746826169
2025-11-25;81.56656646728516;82.41942114140244;80.1286178659945;81.8144891617146;5511200;-0.33;-4.86;-0.0032718986465648525;0.011671772006847103;0.3212;84.73898239135742;-3.1724159240722685
2025-11-26;82.51859283447266;82.55826137548605;81.2194802717864;82.21117109911957;7681900;1.17;-3.6900000000000004;0.011671772006847103;0.0027640846877234893;0.3012;84.43354187011718;-1.9149490356445256
2025-11-27;82.7466812133789;83.49044929935918;82.1417492315016;82.16157971808764;1934100;0.28;-3.41;0.0027640846877234893;0.007190819870561471;0.2986;84.20694046020508;-1.460259246826169
