Date;Close;High;Low;Open;Volume;ret;tret;Returns;Target;Vol;MM20;Detrend
2023-11-14;11.193835258483887;11.373012570848685;10.96750687382746;11.108961889400463;801100;;;;0.01769171125206559;;;
2023-11-16;11.391873359680176;11.448455908199879;11.17497553894436;11.30699998657517;402800;1.77;1.77;0.01769171125206559;-0.01572843420122405;;;
2023-11-17;11.21269702911377;11.48617740058732;11.165545054856446;11.391873452072673;205400;-1.57;0.19999999999999996;-0.01572843420122405;0.0058871184147129;;;
2023-11-20;11.278707504272461;11.316428897958364;11.005227175212426;11.316428897958364;217200;0.59;0.7899999999999999;0.0058871184147129;-0.026755659411992427;;;
2023-11-21;10.976938247680664;11.278709449206195;10.910925122835113;11.278709449206195;368700;-2.68;-1.8900000000000001;-0.026755659411992427;0.0017180482554794985;;;
2023-11-22;10.995797157287598;11.31642946948553;10.995797157287598;11.03351855287859;301600;0.17;-1.7200000000000002;0.0017180482554794985;0.013722113986998519;;;
2023-11-23;11.146682739257812;11.212695856051473;10.939215513189195;11.042949126223503;208300;1.37;-0.3500000000000001;0.013722113986998519;-0.010152253428773683;;;
2023-11-24;11.03351879119873;11.099531909420584;10.910924028042752;11.080670761543189;162600;-1.02;-1.37;-0.010152253428773683;-0.006837557045548226;;;
2023-11-27;10.958076477050781;11.024088698807107;10.77890006113401;10.958076477050781;485800;-0.68;-2.0500000000000003;-0.006837557045548226;0.003442272037050831;;;
2023-11-28;10.995797157287598;11.146682739651563;10.873202396779623;10.958075761696607;288900;0.34;-1.7100000000000002;0.003442272037050831;0.024871445435613593;;;
2023-11-29;11.269278526306152;11.325861074519382;11.033519557557701;11.118392930203;393200;2.49;0.78;0.024871445435613593;0.0460249672179911;;;
2023-11-30;11.787946701049805;11.787946701049805;11.090100472191407;11.316428833007812;481900;4.6;5.38;0.0460249672179911;-0.03704153162017443;;;
2023-12-01;11.351303100585938;11.74992752810061;11.189955074918682;11.74992752810061;601500;-3.7;1.6799999999999997;-0.03704153162017443;0.014214081102915666;;;
2023-12-04;11.512651443481445;11.56010690618608;11.29435667709519;11.351303413368285;354500;1.42;3.0999999999999996;0.014214081102915666;0.018961239706458466;;;
2023-12-05;11.730945587158203;11.730945587158203;11.446214614350689;11.512651720654084;289000;1.9;5.0;0.018961239706458466;-0.006472512167513211;;;
2023-12-06;11.655016899108887;11.76890946625016;11.531633058421425;11.721454908794543;315900;-0.65;4.35;-0.006472512167513211;0.005700435743841492;;;
2023-12-07;11.721455574035645;11.768910134184503;11.51265206985735;11.645527191632212;262100;0.57;4.92;0.005700435743841492;0.0024290453123738676;;;
2023-12-08;11.749927520751953;11.825855896884628;11.560106580420266;11.72145460598661;261500;0.24;5.16;0.0024290453123738676;0.0008078280018686268;;;
2023-12-11;11.759419441223145;11.835347821534477;11.579088859130461;11.626544323109467;314200;0.08;5.24;0.0008078280018686268;0.005649745005228857;;;
2023-12-12;11.825857162475586;11.901785546734038;11.636036201829457;11.692982037454426;308700;0.56;5.800000000000001;0.005649745005228857;0.025682099882986753;;11.377386283874511;0.44847087860107493
2023-12-13;12.129570007324219;12.205498387249747;11.702472643958702;11.778401023884228;311900;2.57;8.370000000000001;0.025682099882986753;-0.010172126626021294;0.2993;11.424173021316529;0.7053969860076901
2023-12-14;12.006186485290527;12.376338026196608;11.977713568340125;12.12957033225922;669900;-1.02;7.350000000000001;-0.010172126626021294;-0.003162025446965311;0.299;11.454888677597046;0.5512978076934818
2023-12-15;11.968222618103027;12.10109774269594;11.87331259065472;12.044151002116767;240500;-0.32;7.030000000000001;-0.003162025446965311;-0.004758163034954688;0.2919;11.49266495704651;0.4755576610565182
2023-12-18;11.911275863647461;11.996695515356802;11.768909475752672;11.958731326279057;521600;-0.48;6.550000000000001;-0.004758163034954688;0.0023904156629872553;0.2932;11.524293375015258;0.38698248863220286
2023-12-19;11.939748764038086;12.015677142097339;11.863820385978835;11.911275848550282;357200;0.24;6.790000000000001;0.0023904156629872553;-0.0031796202698874954;0.2715;11.57243390083313;0.36731486320495677
2023-12-20;11.901784896850586;12.214989691098943;11.863820706794352;11.93974908690682;752900;-0.32;6.470000000000001;-0.0031796202698874954;0.011164329019258679;0.2727;11.61773328781128;0.28405160903930593
2023-12-21;12.034660339355469;12.034660339355469;11.816365561788462;11.901785218004346;866500;1.12;7.590000000000001;0.011164329019258679;0.02917969173459989;0.2717;11.662132167816162;0.3725281715393063
2023-12-22;12.385828018188477;12.575648953439282;11.996694874639921;12.025167788643138;826100;2.92;10.510000000000002;0.02917969173459989;0.02304010892950603;0.2803;11.729747629165649;0.6560803890228275
2023-12-26;12.671198844909668;12.671198844909668;12.29767201296592;12.431758193297071;473500;2.3;12.810000000000002;0.02304010892950603;0.0;0.2823;11.815403747558594;0.8557950973510735
2023-12-27;12.671198844909668;12.728665003189874;12.556267441742854;12.671198844909668;260900;0.0;12.810000000000002;0.0;0.009826206101357648;0.2832;11.899173831939697;0.7720250129699711
2023-12-28;12.795708656311035;12.795708656311035;12.498802746749261;12.671199402387387;428200;0.98;13.790000000000003;0.009826206101357648;-0.015718693358926172;0.2757;11.975495338439941;0.8202133178710938
2024-01-02;12.594576835632324;12.795707002373984;12.431757133346526;12.795707002373984;701500;-1.57;12.220000000000002;-0.015718693358926172;-0.012927699820033833;0.2436;12.015826845169068;0.5787499904632565
2024-01-03;12.431757926940918;12.585000707940305;12.154006813556997;12.441335772014675;444200;-1.29;10.930000000000003;-0.012927699820033833;-0.010785735694050502;0.2019;12.069849586486816;0.3619083404541019
2024-01-04;12.297672271728516;12.517957237418322;12.15400732970186;12.42218152279417;212500;-1.08;9.850000000000003;-0.010785735694050502;0.012461066437617463;0.2057;12.10910062789917;0.188571643829345
2024-01-05;12.45091438293457;12.623311951291935;12.163585406803508;12.163585406803508;214800;1.25;11.100000000000003;0.012461066437617463;0.0;0.2004;12.145099067687989;0.3058153152465817
2024-01-08;12.45091438293457;12.594578414303285;12.316827283835105;12.441336537271686;206800;0.0;11.100000000000003;0.0;-0.0007692407854635874;0.1976;12.184893941879272;0.2660204410552982
2024-01-09;12.441336631774902;12.498802792795077;12.278516907843658;12.326405223128196;155100;-0.08;11.020000000000003;-0.0007692407854635874;0.004618844526930621;0.1979;12.220887994766235;0.22044863700866735
2024-01-10;12.498801231384277;12.537111696147251;12.230627978043465;12.441335077543053;770900;0.46;11.480000000000004;0.004618844526930621;-0.00919529407384112;0.198;12.258331680297852;0.24046955108642543
2024-01-11;12.383871078491211;12.546690798403759;12.268939672681228;12.546690798403759;480200;-0.92;10.560000000000004;-0.00919529407384112;0.0015468105407367982;0.2027;12.289554262161255;0.0943168163299557
2024-01-12;12.403026580810547;12.632889405861503;12.297673014343944;12.297673014343944;401600;0.15;10.710000000000004;0.0015468105407367982;-0.01158316209829735;0.2024;12.318412733078002;0.08461384773254466
2024-01-15;12.259360313415527;12.403024324590197;12.106118457924278;12.240204624782368;220500;-1.16;9.550000000000004;-0.01158316209829735;-0.03124986629581894;0.1884;12.324902248382568;-0.0655419349670403
2024-01-16;11.876256942749023;12.173163777344902;11.809213847005365;12.163585931269044;417700;-3.12;6.430000000000004;-0.03124986629581894;-0.007258158934464687;0.2171;12.318405771255494;-0.4421488285064701
2024-01-17;11.790057182312012;11.952875972588764;11.684702719117402;11.924143352350928;567600;-0.73;5.700000000000005;-0.007258158934464687;-0.004061629872461392;0.2182;12.309497499465943;-0.519440317153931
2024-01-18;11.742170333862305;11.89541221205404;11.569772764199781;11.770902957674846;460700;-0.41;5.2900000000000045;-0.004061629872461392;-0.004894108925212803;0.2181;12.301042222976685;-0.5588718891143802
2024-01-19;11.68470287322998;11.751746872527228;11.387796995604814;11.751746872527228;379700;-0.49;4.800000000000004;-0.004894108925212803;-0.024590078972117846;0.2183;12.28828992843628;-0.6035870552062992
2024-01-22;11.397375106811523;11.780480712735738;11.28244369905235;11.684704082906274;330300;-2.46;2.3400000000000043;-0.024590078972117846;0.01176469210060338;0.2338;12.263069438934327;-0.8656943321228034
2024-01-23;11.531461715698242;11.61766049620177;11.339909377575733;11.339909377575733;207800;1.18;3.520000000000004;0.01176469210060338;-0.0016611512739325152;0.2343;12.237909507751464;-0.706447792053222
2024-01-24;11.512306213378906;11.684702850132448;11.435684369563008;11.521883144636547;293000;-0.17;3.350000000000004;-0.0016611512739325152;0.0;0.2033;12.194233417510986;-0.6819272041320801
2024-01-25;11.512306213378906;11.541038833938908;11.387796973094186;11.493150524076547;139000;0.0;3.350000000000004;0.0;0.011647241343432313;0.1782;12.136288785934449;-0.6239825725555423
2024-01-26;11.646392822265625;11.72301375556525;11.397374332345063;11.588927578987695;261000;1.16;4.510000000000004;0.011647241343432313;0.011513226851208813;0.1869;12.085048484802247;-0.4386556625366218
2024-01-29;11.78048038482666;11.78048038482666;11.493151416729695;11.646393289476448;354700;1.15;5.660000000000004;0.011513226851208813;-0.007317168538223395;0.1887;12.034287071228027;-0.25380668640136683
2024-01-30;11.694280624389648;11.828367708518408;11.493150454893275;11.828367708518408;429300;-0.73;4.930000000000003;-0.007317168538223395;0.02129405622514846;0.1841;11.989272260665894;-0.2949916362762455
2024-01-31;11.943299293518066;12.06780853503466;11.64639250014872;11.64639250014872;449700;2.13;7.060000000000003;0.02129405622514846;-0.020048058615125153;0.2005;11.96484932899475;-0.021550035476684215
2024-02-01;11.703859329223633;11.943299981299603;11.665548861427222;11.9337221360021;836500;-2.0;5.060000000000003;-0.020048058615125153;-0.0212767101686665;0.2085;11.935158681869506;-0.2312993526458733
2024-02-02;11.454839706420898;11.837944346745273;11.416529242388462;11.6368141822266;374900;-2.13;2.9300000000000033;-0.0212767101686665;-0.012541637978331965;0.211;11.885354948043823;-0.4305152416229241
2024-02-05;11.311177253723145;11.588928384590504;11.244133247380239;11.49315175461129;334200;-1.25;1.6800000000000033;-0.012541637978331965;-0.004233839537515216;0.2125;11.828368091583252;-0.5171908378601078
2024-02-06;11.263287544250488;11.521882951748418;11.052579532419696;11.311175853311148;415600;-0.42;1.2600000000000033;-0.004233839537515216;0.0034014051837136794;0.212;11.76946563720703;-0.5061780929565423
2024-02-07;11.30159854888916;11.378219481690289;11.196244081242435;11.30159854888916;247200;0.34;1.6000000000000034;0.0034014051837136794;-0.025423639423707733;0.2113;11.709605503082276;-0.40800695419311594
2024-02-08;11.014270782470703;11.25371145165485;10.832296275783966;11.25371145165485;367400;-2.54;-0.9399999999999966;-0.025423639423707733;-0.020000086585334143;0.2231;11.64112548828125;-0.6268547058105476
2024-02-09;10.793984413146973;11.129200758735628;10.59285424043636;11.129200758735628;1283200;-2.0;-2.939999999999997;-0.020000086585334143;-0.014197080430626063;0.2269;11.560673379898072;-0.766688966751099
2024-02-14;10.640741348266602;10.707785346277543;10.477921645572707;10.679051812818487;548100;-1.42;-4.359999999999997;-0.014197080430626063;0.009000929050678064;0.2278;11.479742431640625;-0.8390010833740238
2024-02-15;10.736517906188965;10.822716679296137;10.621586513177242;10.793984059391587;361200;0.9;-3.459999999999997;0.009000929050678064;0.012488924596655515;0.2153;11.422755479812622;-0.6862375736236572
2024-02-16;10.87060546875;10.87060546875;10.650319604024972;10.73651838094374;199900;1.25;-2.209999999999997;0.012488924596655515;0.01145380648385208;0.2238;11.376782894134521;-0.5061774253845215
2024-02-19;10.995115280151367;11.014270972445457;10.726941981789883;10.765252452984381;300100;1.15;-1.059999999999997;0.01145380648385208;0.03745632616412542;0.2303;11.339430141448975;-0.34431486129760813
2024-02-20;11.406951904296875;11.406951904296875;10.899338004989712;11.110046023216546;350700;3.75;2.690000000000003;0.03745632616412542;-0.013433930917136405;0.2715;11.32554259300232;0.08140931129455531
2024-02-21;11.253711700439453;11.579351163871754;11.196245536671647;11.406953585962022;220700;-1.34;1.350000000000003;-0.013433930917136405;0.011914878615691071;0.2614;11.318359422683717;-0.0646477222442634
2024-02-22;11.387798309326172;11.435685711414049;11.18666811501869;11.292021678363124;181300;1.19;2.5400000000000027;0.011914878615691071;-0.01850293259208713;0.2615;11.311176252365112;0.07662205696106028
2024-02-23;11.177090644836426;11.43568609569661;11.177090644836426;11.4261091629934;221500;-1.85;0.6900000000000026;-0.01850293259208713;0.0017136476368786457;0.2692;11.294415473937988;-0.1173248291015625
