Date;Close;High;Low;Open;Volume;ret;tret;Returns;Target;Vol;MM20;Detrend
2024-01-15;3.5999999046325684;3.7200000286102295;3.5;3.549999952316284;36800;;;;0.052777795070483746;;;
2024-01-16;3.7899999618530273;3.799999952316284;3.549999952316284;3.569999933242798;30400;5.28;5.28;0.052777795070483746;0.026385262284344346;;;
2024-01-17;3.890000104904175;3.890000104904175;3.799999952316284;3.799999952316284;1400;2.64;7.92;0.026385262284344346;0.14395878901261794;;;
2024-01-18;4.449999809265137;4.75;3.9000000953674316;3.9000000953674316;112700;14.4;22.32;0.14395878901261794;0.17078657560826738;;;
2024-01-19;5.210000038146973;5.739999771118164;4.5;4.570000171661377;225900;17.08;39.4;0.17078657560826738;-0.1420345954965705;;;
2024-01-22;4.46999979019165;6.239999771118164;4.46999979019165;5.5;321700;-14.2;25.2;-0.1420345954965705;-0.017897075494633263;;;
2024-01-23;4.389999866485596;4.739999771118164;4.199999809265137;4.429999828338623;55000;-1.79;23.41;-0.017897075494633263;-0.0068336523652807735;;;
2024-01-24;4.360000133514404;4.380000114440918;4.230000019073486;4.300000190734863;12100;-0.68;22.73;-0.0068336523652807735;0.01376145434453857;;;
2024-01-25;4.420000076293945;4.980000019073486;4.420000076293945;4.420000076293945;42300;1.38;24.11;0.01376145434453857;0.013574647453366007;;;
2024-01-26;4.480000019073486;4.849999904632568;4.400000095367432;4.550000190734863;27600;1.36;25.47;0.013574647453366007;-0.00223219393733487;;;
2024-01-29;4.46999979019165;4.699999809265137;4.400000095367432;4.539999961853027;5500;-0.22;25.25;-0.00223219393733487;-0.006711349972995273;;;
2024-01-30;4.440000057220459;4.510000228881836;4.199999809265137;4.420000076293945;13000;-0.67;24.58;-0.006711349972995273;-0.01126130407443382;;;
2024-01-31;4.389999866485596;4.460000038146973;4.28000020980835;4.360000133514404;8300;-1.13;23.45;-0.01126130407443382;0.006833760984226611;;;
