;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;15/05/2025;0,0700;DIVIDENDO;07/07/2025							  ;1;ALUP3
1;16/04/2025;0,0800;DIVIDENDO;11/06/2025							  ;1;ALUP3
2;14/11/2024;0,0800;DIVIDENDO;06/01/2025							  ;1;ALUP3
3;16/08/2024;0,0600;DIVIDENDO;03/10/2024							  ;1;ALUP3
4;16/05/2024;0,0700;DIVIDENDO;08/07/2024							  ;1;ALUP3
5;19/04/2024;0,2600;DIVIDENDO;01/07/2024							  ;1;ALUP3
6;16/11/2023;0,0400;DIVIDENDO;04/01/2024							  ;1;ALUP3
7;16/08/2023;0,0400;DIVIDENDO;05/10/2023							  ;1;ALUP3
8;15/05/2023;0,0400;DIVIDENDO;05/07/2023							  ;1;ALUP3
9;17/04/2023;0,4800;DIVIDENDO;16/05/2023							  ;1;ALUP3
10;11/04/2022;0,1500;DIVIDENDO;31/08/2022							  ;1;ALUP3
11;11/04/2022;0,1500;DIVIDENDO;31/05/2022							  ;1;ALUP3
12;11/04/2022;0,1100;DIVIDENDO;30/11/2022							  ;1;ALUP3
13;27/04/2021;0,0290;DIVIDENDO;30/11/2021							  ;1;ALUP3
14;27/04/2021;0,0510;DIVIDENDO;30/11/2021							  ;1;ALUP3
15;27/04/2021;0,1000;DIVIDENDO;30/08/2021							  ;1;ALUP3
16;27/04/2021;0,1000;DIVIDENDO;31/05/2021							  ;1;ALUP3
17;27/04/2020;0,2300;DIVIDENDO;-							  ;1;ALUP3
18;29/04/2019;0,1500;DIVIDENDO;-							  ;1;ALUP3
19;06/12/2018;0,0600;DIVIDENDO;19/12/2018							  ;1;ALUP3
20;26/04/2018;0,1100;DIVIDENDO;20/06/2018							  ;1;ALUP3
21;01/02/2018;0,0700;DIVIDENDO;16/02/2018							  ;1;ALUP3
22;25/04/2017;0,1025;DIVIDENDO;-							  ;1;ALUP3
23;25/04/2017;0,0683;DIVIDENDO;-							  ;1;ALUP3
24;20/04/2016;0,1600;DIVIDENDO;-							  ;1;ALUP3
25;20/04/2016;0,1200;DIVIDENDO;-							  ;1;ALUP3
26;15/04/2015;0,4000;Dividendo;-							  ;1;ALUP3
27;;;;;;ALUP3
28;2025;0,150;;;;ALUP3
29;2024;0,470;;;;ALUP3
30;2023;0,600;;;;ALUP3
31;2022;0,410;;;;ALUP3
32;2021;0,280;;;;ALUP3
33;2020;0,230;;;;ALUP3
34;2019;0,150;;;;ALUP3
35;2018;0,240;;;;ALUP3
36;2017;0,171;;;;ALUP3
37;2016;0,280;;;;ALUP3
38;2015;0,400;;;;ALUP3
