;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;20/06/2024;1,8400;DIVIDENDO;09/07/2024							  ;1;AURA33
1;11/12/2023;1,2280;DIVIDENDO;28/12/2023							  ;1;AURA33
2;21/06/2023;0,6900;DIVIDENDO;12/07/2023							  ;1;AURA33
3;15/12/2022;0,7400;DIVIDENDO;10/01/2023							  ;1;AURA33
4;23/06/2022;0,7000;DIVIDENDO;07/07/2022							  ;1;AURA33
5;09/12/2021;1,9668;DIVIDENDO;23/12/2021							  ;1;AURA33
6;26/03/2021;4,5800;DIVIDENDO;16/04/2021							  ;1;AURA33
7;;;;;;AURA33
8;2024;1,840;;;;AURA33
9;2023;1,918;;;;AURA33
10;2022;1,440;;;;AURA33
11;2021;6,547;;;;AURA33
