Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
29/12/2025;0,0495;JRS CAP PROPRIO;13/02/2026							  ;1;BPAC3
18/12/2025;0,1650;JRS CAP PROPRIO;13/02/2026							  ;1;BPAC3
08/08/2025;0,2013;JRS CAP PROPRIO;15/08/2025							  ;1;BPAC3
03/01/2025;0,0495;JRS CAP PROPRIO;14/02/2025							  ;1;BPAC3
19/12/2024;0,1011;JRS CAP PROPRIO;14/02/2025							  ;1;BPAC3
03/07/2024;0,1356;JRS CAP PROPRIO;15/08/2024							  ;1;BPAC3
03/01/2024;0,0494;JRS CAP PROPRIO;15/02/2024							  ;1;BPAC3
04/12/2023;0,0770;JRS CAP PROPRIO;15/02/2024							  ;1;BPAC3
04/08/2023;0,1338;JRS CAP PROPRIO;15/08/2023							  ;1;BPAC3
04/01/2023;0,0492;JRS CAP PROPRIO;15/02/2023							  ;1;BPAC3
16/12/2022;0,0654;JRS CAP PROPRIO;15/02/2023							  ;1;BPAC3
04/08/2022;0,1044;JRS CAP PROPRIO;15/08/2022							  ;1;BPAC3
05/01/2022;0,0491;JRS CAP PROPRIO;15/02/2022							  ;1;BPAC3
20/12/2021;0,0226;JRS CAP PROPRIO;06/01/2022							  ;1;BPAC3
05/08/2021;0,0566;JRS CAP PROPRIO;12/08/2021							  ;1;BPAC3
06/01/2021;0,2075;JRS CAP PROPRIO;05/02/2021							  ;1;BPAC3
22/07/2020;0,1965;JRS CAP PROPRIO;05/02/2021							  ;1;BPAC3
06/01/2020;0,2068;JRS CAP PROPRIO;31/03/2020							  ;1;BPAC3
08/08/2019;0,2383;JRS CAP PROPRIO;15/08/2019							  ;1;BPAC3
07/01/2019;0,2309;JRS CAP PROPRIO;31/03/2019							  ;1;BPAC3
13/08/2018;0,2245;JRS CAP PROPRIO;22/08/2018							  ;1;BPAC3
04/01/2018;0,2284;JRS CAP PROPRIO;07/03/2018							  ;1;BPAC3
05/07/2017;0,2290;JRS CAP PROPRIO;-							  ;1;BPAC3
04/01/2017;0,3224;JRS CAP PROPRIO;-							  ;1;BPAC3
05/07/2016;0,1877;JRS CAP PROPRIO;-							  ;1;BPAC3
29/12/2015;0,1811;JUROS;-							  ;1;BPAC3
11/08/2015;0,0174;DIVIDENDO;-							  ;1;BPAC3
06/07/2015;0,1554;JUROS;-							  ;1;BPAC3
02/03/2015;0,0391;Dividendo;-							  ;1;BPAC3
06/01/2015;0,1098;Juros;-							  ;1;BPAC3
11/08/2014;0,1112;Juros;-							  ;1;BPAC3
11/08/2014;0,0540;Dividendo;-							  ;1;BPAC3
21/02/2014;0,0487;Dividendo;-							  ;1;BPAC3
23/12/2013;0,0909;Juros;-							  ;1;BPAC3
11/08/2013;0,0939;Juros;-							  ;1;BPAC3
09/08/2013;0,0223;Dividendo;-							  ;1;BPAC3
22/02/2013;0,0708;Dividendo;-							  ;1;BPAC3
26/12/2012;0,0812;Juros;-							  ;1;BPAC3
14/08/2012;0,0831;Juros;-							  ;1;BPAC3
14/08/2012;0,0686;Dividendo;-							  ;1;BPAC3
;;;;;BPAC3
2025;0,465;;;;BPAC3
2024;0,286;;;;BPAC3
2023;0,260;;;;BPAC3
2022;0,219;;;;BPAC3
2021;0,287;;;;BPAC3
2020;0,403;;;;BPAC3
2019;0,469;;;;BPAC3
2018;0,453;;;;BPAC3
2017;0,551;;;;BPAC3
2016;0,188;;;;BPAC3
2015;0,503;;;;BPAC3
2014;0,214;;;;BPAC3
2013;0,278;;;;BPAC3
2012;0,233;;;;BPAC3
