Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
12/05/2026;0,3024;DIVIDENDO;12/06/2026							  ;1;ECOR3
04/08/2025;0,3087;DIVIDENDO;29/08/2025							  ;1;ECOR3
13/05/2024;0,1945;DIVIDENDO;29/07/2024							  ;1;ECOR3
14/11/2023;0,0839;DIVIDENDO;27/11/2023							  ;1;ECOR3
05/12/2022;0,0076;DIVIDENDO;14/12/2022							  ;1;ECOR3
05/11/2018;0,2857;DIVIDENDO;16/11/2018							  ;1;ECOR3
05/11/2018;0,0636;DIVIDENDO;16/11/2018							  ;1;ECOR3
30/04/2018;0,3728;DIVIDENDO;15/05/2018							  ;1;ECOR3
01/11/2017;0,2336;DIVIDENDO;-							  ;1;ECOR3
29/03/2017;0,1887;DIVIDENDO;-							  ;1;ECOR3
09/11/2016;0,1860;DIVIDENDO;-							  ;1;ECOR3
09/11/2016;0,0773;DIVIDENDO;-							  ;1;ECOR3
14/05/2015;0,4239;Dividendo;-							  ;1;ECOR3
24/11/2014;0,2338;DIVIDENDO;-							  ;1;ECOR3
24/11/2014;0,1791;DIVIDENDO;-							  ;1;ECOR3
24/11/2014;0,1104;JRS CAP PROPRIO;-							  ;1;ECOR3
29/04/2014;0,8731;DIVIDENDO;-							  ;1;ECOR3
25/03/2014;0,0375;JRS CAP PROPRIO;-							  ;1;ECOR3
11/11/2013;0,3225;DIVIDENDO;-							  ;1;ECOR3
28/05/2013;0,4572;DIVIDENDO;-							  ;1;ECOR3
12/11/2012;0,2610;DIVIDENDO;-							  ;1;ECOR3
16/03/2012;0,0921;DIVIDENDO;-							  ;1;ECOR3
08/11/2011;0,2508;DIVIDENDO;-							  ;1;ECOR3
26/04/2011;0,2604;DIVIDENDO;-							  ;1;ECOR3
08/12/2010;0,2100;DIVIDENDO;-							  ;1;ECOR3
08/12/2010;0,0200;JRS CAP PRÓPRIO;-							  ;1;ECOR3
;;;;;ECOR3
2026;0,302;;;;ECOR3
2025;0,309;;;;ECOR3
2024;0,194;;;;ECOR3
2023;0,084;;;;ECOR3
2022;0,008;;;;ECOR3
2018;0,722;;;;ECOR3
2017;0,422;;;;ECOR3
2016;0,263;;;;ECOR3
2015;0,424;;;;ECOR3
2014;1,434;;;;ECOR3
2013;0,780;;;;ECOR3
2012;0,353;;;;ECOR3
2011;0,511;;;;ECOR3
2010;0,230;;;;ECOR3
