;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;23/04/2026;0,0909;JRS CAP PROPRIO;13/05/2026							  ;1;GRND3
1;23/04/2026;0,0012;DIVIDENDO;13/05/2026							  ;1;GRND3
2;26/12/2025;0,4434;DIVIDENDO;14/01/2026							  ;1;GRND3
3;26/12/2025;0,2217;DIVIDENDO;10/06/2026							  ;1;GRND3
4;26/12/2025;0,2217;DIVIDENDO;18/03/2026							  ;1;GRND3
5;26/12/2025;0,1995;DIVIDENDO;09/09/2026							  ;1;GRND3
6;11/12/2025;0,0624;DIVIDENDO;26/12/2025							  ;1;GRND3
7;11/12/2025;0,0499;JRS CAP PROPRIO;26/12/2025							  ;1;GRND3
8;21/11/2025;0,0665;JRS CAP PROPRIO;10/12/2025							  ;1;GRND3
9;21/11/2025;0,0043;DIVIDENDO;10/12/2025							  ;1;GRND3
10;21/08/2025;0,1145;DIVIDENDO;10/09/2025							  ;1;GRND3
11;14/05/2025;0,0638;DIVIDENDO;29/05/2025							  ;1;GRND3
12;22/04/2025;0,1336;DIVIDENDO;07/05/2025							  ;1;GRND3
13;22/04/2025;0,1219;JRS CAP PROPRIO;07/05/2025							  ;1;GRND3
14;21/11/2024;0,0882;DIVIDENDO;05/12/2024							  ;1;GRND3
15;21/11/2024;0,0610;JRS CAP PROPRIO;05/12/2024							  ;1;GRND3
16;21/08/2024;0,0147;DIVIDENDO;04/09/2024							  ;1;GRND3
17;21/05/2024;0,0840;DIVIDENDO;05/06/2024							  ;1;GRND3
18;02/05/2024;0,1053;JRS CAP PROPRIO;15/05/2024							  ;1;GRND3
19;02/05/2024;0,0563;DIVIDENDO;15/05/2024							  ;1;GRND3
20;21/11/2023;0,0354;DIVIDENDO;06/12/2023							  ;1;GRND3
21;21/11/2023;0,0222;JRS CAP PROPRIO;06/12/2023							  ;1;GRND3
22;21/08/2023;0,0190;DIVIDENDO;06/09/2023							  ;1;GRND3
23;22/05/2023;0,0755;DIVIDENDO;07/06/2023							  ;1;GRND3
24;02/05/2023;1,1131;DIVIDENDO;17/05/2023							  ;1;GRND3
25;02/05/2023;0,1219;JRS CAP PROPRIO;17/05/2023							  ;1;GRND3
26;03/11/2022;0,0655;DIVIDENDO;23/11/2022							  ;1;GRND3
27;03/11/2022;0,0377;JRS CAP PROPRIO;23/11/2022							  ;1;GRND3
28;11/08/2022;0,0200;JRS CAP PROPRIO;31/08/2022							  ;1;GRND3
29;11/08/2022;0,0085;DIVIDENDO;31/08/2022							  ;1;GRND3
30;09/05/2022;0,0410;JRS CAP PROPRIO;25/05/2022							  ;1;GRND3
31;09/05/2022;0,0518;DIVIDENDO;25/05/2022							  ;1;GRND3
32;02/05/2022;0,0809;JRS CAP PROPRIO;18/05/2022							  ;1;GRND3
33;02/05/2022;0,0002;DIVIDENDO;18/05/2022							  ;1;GRND3
34;16/12/2021;0,0794;DIVIDENDO;28/12/2021							  ;1;GRND3
35;05/11/2021;0,1493;DIVIDENDO;24/11/2021							  ;1;GRND3
36;05/08/2021;0,0374;DIVIDENDO;18/08/2021							  ;1;GRND3
37;10/05/2021;0,0909;DIVIDENDO;19/05/2021							  ;1;GRND3
38;22/04/2021;0,1219;JRS CAP PROPRIO;12/05/2021							  ;1;GRND3
39;22/04/2021;0,3866;DIVIDENDO;12/05/2021							  ;1;GRND3
40;05/11/2020;0,0239;DIVIDENDO;18/11/2020							  ;1;GRND3
41;05/05/2020;0,1220;JRS CAP PROPRIO;20/05/2020							  ;1;GRND3
42;05/05/2020;0,0219;DIVIDENDO;20/05/2020							  ;1;GRND3
43;04/11/2019;0,1040;DIVIDENDO;19/11/2019							  ;1;GRND3
44;08/08/2019;0,0170;DIVIDENDO;21/08/2019							  ;1;GRND3
45;09/05/2019;0,0408;DIVIDENDO;22/05/2019							  ;1;GRND3
46;23/04/2019;0,1441;JRS CAP PROPRIO;08/05/2019							  ;1;GRND3
47;23/04/2019;0,0149;DIVIDENDO;08/05/2019							  ;1;GRND3
48;05/11/2018;0,0525;DIVIDENDO;21/11/2018							  ;1;GRND3
49;06/08/2018;0,0374;DIVIDENDO;22/08/2018							  ;1;GRND3
50;07/05/2018;0,3017;DIVIDENDO;23/05/2018							  ;1;GRND3
51;03/05/2018;0,4323;JRS CAP PROPRIO;16/05/2018							  ;1;GRND3
52;03/05/2018;0,0653;DIVIDENDO;16/05/2018							  ;1;GRND3
53;06/11/2017;0,2444;DIVIDENDO;-							  ;1;GRND3
54;03/08/2017;0,1848;DIVIDENDO;-							  ;1;GRND3
55;02/05/2017;0,2297;DIVIDENDO;-							  ;1;GRND3
56;02/05/2017;0,0998;JRS CAP PROPRIO;-							  ;1;GRND3
57;12/04/2017;0,4323;JRS CAP PROPRIO;-							  ;1;GRND3
58;12/04/2017;0,0618;DIVIDENDO;-							  ;1;GRND3
59;27/10/2016;0,2530;DIVIDENDO;-							  ;1;GRND3
60;02/08/2016;0,1513;DIVIDENDO;-							  ;1;GRND3
61;03/05/2016;0,1702;DIVIDENDO;-							  ;1;GRND3
62;03/05/2016;0,0998;JUROS;-							  ;1;GRND3
63;14/04/2016;0,3325;JUROS;-							  ;1;GRND3
64;14/04/2016;0,0362;DIVIDENDO;-							  ;1;GRND3
65;28/10/2015;0,1788;DIVIDENDO;-							  ;1;GRND3
66;29/07/2015;0,1460;DIVIDENDO;-							  ;1;GRND3
67;27/04/2015;0,2241;Dividendo;-							  ;1;GRND3
68;09/04/2015;0,3175;Dividendo;-							  ;1;GRND3
69;30/10/2014;0,1781;DIVIDENDO;-							  ;1;GRND3
70;31/07/2014;0,0994;DIVIDENDO;-							  ;1;GRND3
71;29/04/2014;0,1401;DIVIDENDO;-							  ;1;GRND3
72;10/04/2014;0,3685;DIVIDENDO;-							  ;1;GRND3
73;04/11/2013;0,2790;DIVIDENDO;-							  ;1;GRND3
74;01/08/2013;0,1380;DIVIDENDO;-							  ;1;GRND3
75;07/05/2013;0,2130;DIVIDENDO;-							  ;1;GRND3
76;11/04/2013;0,3500;DIVIDENDO;-							  ;1;GRND3
77;06/11/2012;0,2880;DIVIDENDO;-							  ;1;GRND3
78;06/08/2012;0,1420;DIVIDENDO;-							  ;1;GRND3
79;03/05/2012;0,1960;DIVIDENDO;-							  ;1;GRND3
80;11/04/2012;0,2900;DIVIDENDO;-							  ;1;GRND3
81;17/11/2011;0,2010;DIVIDENDO;-							  ;1;GRND3
82;18/08/2011;0,0890;DIVIDENDO;-							  ;1;GRND3
83;19/05/2011;0,1500;DIVIDENDO;-							  ;1;GRND3
84;11/04/2011;0,1700;DIVIDENDO;-							  ;1;GRND3
85;22/11/2010;0,1200;DIVIDENDO;-							  ;1;GRND3
86;19/08/2010;0,0400;DIVIDENDO;-							  ;1;GRND3
87;20/05/2010;0,0750;DIVIDENDO;-							  ;1;GRND3
88;26/04/2010;0,1133;DIVIDENDO;-							  ;1;GRND3
89;19/11/2009;0,0700;DIVIDENDO;-							  ;1;GRND3
90;20/08/2009;0,3000;DIVIDENDO;-							  ;1;GRND3
91;21/05/2009;0,2500;DIVIDENDO;-							  ;1;GRND3
92;08/04/2009;0,4400;DIVIDENDO;-							  ;1;GRND3
93;19/11/2008;0,3100;DIVIDENDO;-							  ;1;GRND3
94;21/08/2008;0,3400;DIVIDENDO;-							  ;1;GRND3
95;17/04/2008;0,4772;DIVIDENDO;-							  ;1;GRND3
96;14/11/2007;0,4200;DIVIDENDO;-							  ;1;GRND3
97;06/08/2007;0,3000;DIVIDENDO;-							  ;1;GRND3
98;16/04/2007;0,4826;DIVIDENDO;-							  ;1;GRND3
99;13/11/2006;0,4100;DIVIDENDO;-							  ;1;GRND3
100;14/08/2006;0,3900;DIVIDENDO;-							  ;1;GRND3
101;10/04/2006;0,4318;DIVIDENDO;-							  ;1;GRND3
102;31/10/2005;0,3800;DIVIDENDO;-							  ;1;GRND3
103;18/04/2005;0,6415;DIVIDENDO;-							  ;1;GRND3
104;;;;;;GRND3
105;2026;0,092;;;;GRND3
106;2025;1,703;;;;GRND3
107;2024;0,409;;;;GRND3
108;2023;1,387;;;;GRND3
109;2022;0,306;;;;GRND3
110;2021;0,865;;;;GRND3
111;2020;0,168;;;;GRND3
112;2019;0,321;;;;GRND3
113;2018;0,889;;;;GRND3
114;2017;1,253;;;;GRND3
115;2016;1,043;;;;GRND3
116;2015;0,866;;;;GRND3
117;2014;0,786;;;;GRND3
118;2013;0,980;;;;GRND3
119;2012;0,916;;;;GRND3
120;2011;0,610;;;;GRND3
121;2010;0,348;;;;GRND3
