;Data;Valor;Tipo;Data de Pagamento;Por quantas ações
0;21/06/2021;0,5679;DIVIDENDO;29/06/2021 ;1
1;30/04/2020;0,1125;DIVIDENDO;20/05/2020 ;1
2;24/04/2019;0,1574;DIVIDENDO;15/05/2019 ;1
3;12/12/2018;0,0252;JRS CAP PROPRIO;27/12/2018 ;1
4;09/08/2018;0,0670;JRS CAP PROPRIO;24/08/2018 ;1
5;16/04/2018;0,1401;DIVIDENDO;30/04/2018 ;1
6;14/12/2017;0,0427;JRS CAP PROPRIO;- ;1
7;10/08/2017;0,0610;JRS CAP PROPRIO;- ;1
8;07/04/2017;0,1213;DIVIDENDO;- ;1
9;12/08/2016;0,1133;DIVIDENDO;- ;1
10;27/04/2016;0,1700;DIVIDENDO;- ;1
11;10/12/2015;0,1922;JUROS;- ;1
12;16/07/2015;0,3207;JUROS;- ;1
13;16/01/2015;0,3143;JRS CAP PROPRIO;- ;1
14;08/08/2014;0,3124;JRS CAP PROPRIO;- ;1
15;13/02/2014;0,3222;DIVIDENDO;- ;1
16;08/11/2013;0,2148;JRS CAP PRÓPRIO;- ;1
17;18/04/2013;0,1265;DIVIDENDO;- ;1
