;Papel;Total_Acumulado
0;AALR3;-4.07
1;ABCB4;1.33
2;ABEV3;-4.47
3;ADHM3;0.0
4;AERI3;-29.78
5;AESB3;4.54
6;AFLT3;-9.49
7;AGRO3;-0.82
8;AGXY3;-27.88
9;AHEB3;3.87
10;ALLD3;15.25
11;ALPA3;19.83
12;ALPA4;12.96
13;ALPK3;8.51
14;ALUP11;7.09
15;ALUP3;9.13
16;ALUP4;6.64
17;AMAR3;-27.47
18;AMER3;-24.43
19;AMBP3;11.39
20;ANIM3;17.69
21;APER3;2.54
22;ARML3;-1.93
23;ARZZ3;5.82
24;ASAI3;7.73
25;ATMP3;-13.67
26;ATOM3;-7.04
27;AURA33;12.57
28;AURE3;-4.11
29;AVLL3;-18.11
30;AZEV3;-10.01
31;AZEV4;-10.66
32;AZUL4;7.54
33;B3SA3;-5.39
34;BAHI3;11.88
35;BALM3;-9.37
36;BALM4;2.84
37;BAUH4;-2.53
38;BAZA3;9.41
39;BBAS3;-5.6
40;BBDC3;-11.71
41;BBDC4;-14.34
42;BBSE3;-6.13
43;BDLL3;0.0
44;BDLL4;-11.25
45;BEEF3;5.65
46;BEES3;-9.66
47;BEES4;-4.63
48;BGIP3;2.36
49;BGIP4;-9.05
50;BIOM3;65.12
51;BLAU3;1.83
52;BMEB3;14.07
53;BMEB4;36.43
54;BMGB4;-5.9
55;BMIN3;-6.0
56;BMIN4;7.27
57;BMKS3;1.49
58;BMOB3;12.78
59;BNBR3;-6.0
60;BOBR4;2.23
61;BPAC11;-0.46
62;BPAC3;2.2
63;BPAC5;-1.81
64;BPAN4;11.01
65;BRAP3;-3.47
66;BRAP4;-7.97
67;BRBI11;6.09
68;BRFS3;12.43
69;BRGE11;11.84
70;BRGE12;18.74
71;BRGE3;16.49
72;BRGE5;13.61
73;BRGE6;8.37
74;BRGE8;11.86
75;BRIT3;34.44
76;BRIV3;16.76
77;BRKM3;34.74
78;BRKM5;43.76
79;BRKM6;7.93
80;BRPR3;0.0
81;BRSR3;-3.47
82;BRSR5;0.29
83;BRSR6;-2.31
84;BSLI3;-11.89
85;BSLI4;0.34
86;CAMB3;8.03
87;CAML3;2.62
88;CASH3;2.27
89;CBAV3;6.65
90;CBEE3;0.0
91;CCRO3;8.43
92;CEAB3;28.48
93;CEBR3;4.01
94;CEBR5;4.62
95;CEBR6;-12.65
96;CEDO3;18.63
97;CEDO4;10.09
98;CEEB3;2.37
99;CEED3;0.0
100;CEED4;0.0
101;CEGR3;-20.0
102;CGAS3;0.71
103;CGAS5;-2.08
104;CGRA3;6.95
105;CGRA4;10.98
106;CIEL3;1.49
107;CLSA3;17.88
108;CLSC3;-8.58
109;CLSC4;2.47
110;CMIG3;-8.96
111;CMIG4;5.34
112;CMIN3;-14.13
113;COCE3;3.95
114;COCE5;-12.87
115;COGN3;-4.42
116;CORR4;0.0
117;CPFE3;-5.68
118;CPLE3;-0.61
119;CPLE6;-1.8
120;CRFB3;18.14
121;CRIV3;15.31
122;CRIV4;7.7
123;CRPG3;-12.49
124;CRPG5;-6.67
125;CRPG6;-6.66
126;CSAN3;-10.21
127;CSED3;20.81
128;CSMG3;-1.66
129;CSNA3;-9.12
130;CSRN3;-10.89
131;CSRN5;-17.43
132;CSRN6;-1.5
133;CSUD3;13.74
134;CTKA3;21.37
135;CTKA4;3.99
136;CTNM3;-13.32
137;CTNM4;-11.47
138;CTSA3;-14.55
139;CTSA4;-2.24
140;CURY3;9.97
141;CVCB3;8.45
142;CXSE3;12.23
143;CYRE3;8.57
144;DASA3;1.33
145;DESK3;15.13
146;DIRR3;12.27
147;DMVF3;11.96
148;DOHL3;0.0
149;DOHL4;-5.16
150;DOTZ3;-19.6
151;DTCY3;-7.81
152;EALT3;0.6
153;EALT4;7.04
154;ECOR3;1.66
155;EGIE3;1.19
156;EKTR3;31.58
157;EKTR4;19.15
158;ELET3;-1.12
159;ELET5;10.0
160;ELET6;-0.61
161;ELMD3;-6.42
162;EMAE4;22.12
163;EMBR3;35.95
164;ENAT3;39.0
165;ENEV3;-0.51
166;ENGI11;-7.85
167;ENGI3;-16.51
168;ENGI4;-1.9
169;ENJU3;6.11
170;ENMT3;5.9
171;ENMT4;7.81
172;EPAR3;-14.86
173;EQMA3B;1.71
174;EQPA3;3.82
175;EQPA5;0.0
176;EQPA7;-3.1
177;EQTL3;-5.01
178;ESPA3;7.83
179;ESTR4;-55.7
180;ETER3;5.28
181;EUCA3;2.81
182;EUCA4;3.16
183;EVEN3;13.22
184;EZTC3;10.49
185;FESA3;0.91
186;FESA4;-8.87
187;FHER3;-7.73
188;FIQE3;12.19
189;FLRY3;-7.31
190;FRAS3;16.66
191;FRIO3;-8.48
192;FRTA3;-9.86
193;GEPA3;-5.13
194;GEPA4;0.6
195;GFSA3;-6.06
196;GGBR3;-0.86
197;GGBR4;2.35
198;GGPS3;5.1
199;GMAT3;13.62
200;GOAU3;2.32
201;GOAU4;0.91
202;GOLL4;-38.92
203;GPIV33;27.14
204;GRND3;0.4
205;GSHP3;-18.6
206;GUAR3;46.35
207;HAGA3;8.97
208;HAGA4;8.76
209;HAPV3;3.08
210;HBOR3;6.35
211;HBRE3;37.06
212;HBSA3;-0.43
213;HBTS5;15.35
214;HETA4;8.91
215;HOOT4;-0.7
216;HYPE3;10.09
217;IFCM3;-29.43
218;INEP3;-34.21
219;INEP4;-23.76
220;INTB3;5.24
221;IRBR3;-4.43
222;ITSA3;3.83
223;ITSA4;3.52
224;ITUB3;4.3
225;ITUB4;2.42
226;JALL3;6.31
227;JBSS3;-1.76
228;JHSF3;-7.16
229;JOPA3;3.67
230;JOPA4;3.55
