;Data Referência;Demonstração Financeira;Release de Resultados;Acao
0;31/12/2024;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=144984&CodigoTipoInstituicao=1;;POMO4
1;30/09/2024;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=142458&CodigoTipoInstituicao=1;;POMO4
2;30/06/2024;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=140335&CodigoTipoInstituicao=1;;POMO4
3;31/03/2024;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=136124&CodigoTipoInstituicao=1;;POMO4
4;31/12/2023;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=134272&CodigoTipoInstituicao=1;;POMO4
5;30/09/2023;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=131698&CodigoTipoInstituicao=1;;POMO4
6;30/06/2023;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=129655&CodigoTipoInstituicao=1;;POMO4
7;31/03/2023;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=125586&CodigoTipoInstituicao=1;;POMO4
8;31/12/2022;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=123747&CodigoTipoInstituicao=1;;POMO4
9;30/09/2022;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=121307&CodigoTipoInstituicao=1;;POMO4
10;30/06/2022;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=119095&CodigoTipoInstituicao=1;;POMO4
11;31/03/2022;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=114119&CodigoTipoInstituicao=1;;POMO4
