;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
0;AALR3;ON NM;ALLIAR ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;10,01;24/08/2023;10,01;24,30;8.852.680;1.184.110.000;2.079.740.000;30/06/2023;118293000;-4.03;-4.13;-2.42;1.37;7.32;-699.00;30.3;1.05;-0.1;0.47;-24.6;-3.68;-0.1;-0.96;-0.1;0.0;-33.1;18.11;0.55;-1227.70;3.1;2.520.960.000;95.520.000;386.719.000;991.145.000;895.625.000;865.378.000;-286.526.000;-51.579.000
1;ABCB4;PN N2;ABC Brasil PN N2;Intermediários Financeiros;17,98;24/08/2023;15,28;21,26;16.234.300;4.065.100.000;-;30/06/2023;226090000;-3.33;5.04;3.57;0.75;23.98;0;0;0;0;0;0.0;0;0.0;0;0;8.7;14.9;0;0;0;17.3;54.286.600.000;0;0;0;0;5.420.810.000;807.321.000;201.878.000
2;ABEV3;ON;AMBEV S/A ON;Bebidas;14,19;24/08/2023;12,86;16,03;346.268.000;223.547.000.000;215.109.000.000;30/06/2023;15753800000;-1.80;15.66;0.91;2.63;5.40;13.72;49.9;2.70;19.7;1.68;17.8;1104.83;12.2;-17.74;15.8;5.4;16.8;9.67;1.01;13.20;14.2;133.294.000.000;12.430.500.000;34.324.100.000;3.992.280.000;-8.438.230.000;85.074.600.000;14.278.000.000;2.502.970.000
3;AERI3;ON NM;AERIS ON NM;Máquinas e Equipamentos;1,05;24/08/2023;0,88;2,53;6.916.250;804.524.000;1.743.140.000;30/06/2023;766213000;-2.78;-7.54;-0.14;0.95;1.10;2.87;13.0;0.27;9.4;0.25;-3.6;1.06;8.8;-2.07;14.2;0.0;-12.6;5.23;1.63;6.23;23.3;3.181.560.000;846.053.000;1.950.160.000;1.784.670.000;938.618.000;843.215.000;-106.636.000;-19.097.000
4;AFLT3;ON;AFLUENTE T ON;Energia Elétrica;9,70;24/08/2023;8,08;10,50;5.546;611.924.000;604.854.000;30/06/2023;63085000;4.98;23.52;0.41;2.45;3.96;22.68;48.3;8.46;37.3;2.00;36.0;16.81;8.8;37.75;9.3;6.1;10.4;22.27;2.00;22.42;30.1;306.603.000;7.305.000;72.799.000;234.000;-7.071.000;250.012.000;26.012.000;6.964.000
5;AGRO3;ON NM;BRASILAGRO ON NM;Agropecuária;24,00;24/08/2023;22,59;31,35;12.347.000;2.457.050.000;3.115.330.000;31/03/2023;102377000;-3.42;62.35;0.38;1.21;19.91;58.61;13.1;2.16;3.7;0.74;3.5;3.24;1.3;36.94;1.4;13.5;1.9;25.02;2.25;74.31;29.9;3.332.820.000;251.358.000;1.361.360.000;909.640.000;658.282.000;2.037.980.000;39.409.000;-3.293.000
6;AGXY3;ON NM;AGROGALAXY ON NM;Agropecuária;4,97;24/08/2023;4,70;9,91;450.092;849.000.000;1.777.930.000;30/06/2023;170825000;-0.60;-4.32;-1.15;0.80;6.18;1.78;12.4;0.08;4.3;0.10;-1.7;1.74;5.4;-1.16;12.6;0.8;-18.6;2.95;1.08;3.74;60.2;8.756.780.000;1.182.030.000;6.944.080.000;2.110.960.000;928.932.000;1.055.090.000;-196.432.000;-388.825.000
7;AHEB3;ON;PARQUE ANHEMBI ON;Viagens e Lazer;22,09;03/08/2023;17,00;29,99;151;188.737.000;156.224.000;30/06/2023;8544000;0.00;2.52;8.77;22.01;1.00;1.92;35.2;0.40;20.9;0.51;15.9;3.85;26.7;-0.93;33.4;0.0;873.5;1.49;1.46;1.59;49.8;367.482.000;36.882.000;155.377.000;4.369.000;-32.513.000;8.577.000;74.924.000;1.260.000
8;ALLD3;ON NM;ALLIED ON NM;Comércio;6,63;24/08/2023;4,50;9,86;301.693;618.052.000;850.146.000;30/06/2023;93220600;-3.35;9.84;0.67;0.40;16.44;3.38;13.8;0.11;3.4;0.17;1.2;0.63;5.1;1.46;8.7;5.3;4.1;3.35;1.65;4.65;02.8;3.581.540.000;356.853.000;2.472.830.000;588.947.000;232.094.000;1.532.400.000;62.788.000;16.861.000
9;ALPA3;ON N1;ALPARGATAS ON N1;Tecidos, Vestuário e Calçados;9,99;24/08/2023;7,80;19,66;50.463;6.823.790.000;7.760.650.000;30/06/2023;683062000;0.81;-29.91;-0.33;1.29;7.77;31.00;42.2;1.70;5.5;0.88;-5.7;3.89;2.8;14.58;3.2;0.0;-4.3;19.34;2.50;35.26;2.0;7.766.710.000;414.288.000;2.923.670.000;1.351.150.000;936.861.000;5.309.890.000;-228.109.000;-52.853.000
10;ALPA4;PN N1;ALPARGATAS PN N1;Tecidos, Vestuário e Calçados;9,89;24/08/2023;7,02;23,60;60.159.200;6.755.480.000;7.692.340.000;30/06/2023;683062000;2.28;-29.62;-0.33;1.27;7.77;30.69;42.2;1.68;5.5;0.87;-5.7;3.85;2.8;14.43;3.2;0.0;-4.3;19.17;2.50;34.95;2.0;7.766.710.000;414.288.000;2.923.670.000;1.351.150.000;936.861.000;5.309.890.000;-228.109.000;-52.853.000
11;ALPK3;ON NM;ESTAPAR ON NM;Serviços Diversos;4,81;24/08/2023;1,11;5,90;2.237.370;1.031.390.000;2.246.950.000;30/06/2023;214427000;-3.22;-8.05;-0.60;2.81;1.71;4.13;29.4;0.83;20.2;0.39;-10.0;-3.55;9.3;-0.55;11.2;0.0;-34.9;4.66;0.60;8.99;36.7;2.674.960.000;296.341.000;434.063.000;1.511.900.000;1.215.560.000;366.519.000;-128.086.000;-16.467.000
12;ALSO3;ON;ALIANSCSONAE ON;Exploração de Imóveis;24,11;24/08/2023;15,15;25,47;114.424.000;13.837.600.000;12.130.700.000;30/06/2023;573937000;0.00;4.32;5.58;0.94;25.57;16.17;68.1;7.45;46.1;0.49;177.4;10.46;3.0;-1.45;3.2;2.2;21.8;9.21;1.87;14.18;38.1;28.202.200.000;1.706.950.000;2.839.730.000;0;-1.706.950.000;14.673.500.000;3.204.330.000;152.985.000
13;ALUP11;UNT N2;ALUPAR UNT N2;Energia Elétrica;28,63;24/08/2023;22,36;30,11;21.264.200;8.725.240.000;17.816.800.000;30/06/2023;914276000;0.42;11.47;2.50;1.17;24.49;3.84;76.9;2.75;71.8;0.31;40.5;2.83;8.1;-0.73;9.0;5.6;10.2;7.36;2.44;7.83;0.4;28.112.000.000;2.595.830.000;5.229.880.000;11.687.400.000;9.091.520.000;7.464.410.000;760.375.000;222.186.000
14;ALUP3;ON N2;ALUPAR ON N2;Energia Elétrica;9,75;24/08/2023;7,48;10,20;184.848;8.914.190.000;18.005.700.000;30/06/2023;914276000;2.74;11.72;0.83;1.19;8.16;3.92;76.9;2.81;71.8;0.32;40.5;2.89;8.1;-0.74;9.0;5.5;10.2;7.44;2.44;7.92;0.4;28.112.000.000;2.595.830.000;5.229.880.000;11.687.400.000;9.091.520.000;7.464.410.000;760.375.000;222.186.000
15;ALUP4;PN N2;ALUPAR PN N2;Energia Elétrica;9,54;24/08/2023;7,37;10,16;294.993;8.722.190.000;17.813.700.000;30/06/2023;914276000;-1.14;11.47;0.83;1.17;8.16;3.83;76.9;2.75;71.8;0.31;40.5;2.82;8.1;-0.72;9.0;5.6;10.2;7.36;2.44;7.83;0.4;28.112.000.000;2.595.830.000;5.229.880.000;11.687.400.000;9.091.520.000;7.464.410.000;760.375.000;222.186.000
16;AMAR3;ON NM;LOJAS MARISA ON NM;Comércio;0,76;24/08/2023;0,59;2,67;4.643.530;260.561.000;1.311.600.000;30/06/2023;342843000;-2.56;-0.42;-1.83;0.86;0.89;24.17;36.2;0.10;0.4;0.10;-24.6;-63.32;0.4;-0.23;0.6;0.0;-206.1;5.16;1.00;121.65;00.3;2.666.900.000;339.717.000;1.207.770.000;1.390.760.000;1.051.040.000;304.199.000;-626.818.000;-63.408.000
17;AMER3;ON;AMERICANAS ON;Comércio;0,97;24/08/2023;0,71;21,10;11.566.200;875.454.000;13.071.400.000;30/09/2022;902530000;-3.00;20.41;0.05;0.06;16.29;0.72;30.7;0.03;4.3;0.02;0.2;0.07;2.6;-0.09;3.6;0.0;0.3;4.13;2.24;10.82;47.0;47.084.100.000;8.594.890.000;22.433.400.000;20.790.900.000;12.196.000.000;14.705.600.000;42.889.000;-211.551.000
18;AMBP3;ON NM;AMBIPAR ON NM;Água e Saneamento;21,99;24/08/2023;17,67;32,79;28.676.000;2.483.460.000;6.800.510.000;30/06/2023;112936000;-3.26;-21.66;-1.02;2.33;9.44;2.74;23.5;0.55;20.1;0.23;-0.7;0.78;8.4;-0.61;12.4;0.6;-10.8;5.36;2.75;7.50;110.3;10.812.000.000;3.163.140.000;5.024.440.000;7.480.180.000;4.317.040.000;1.066.510.000;-114.659.000;-33.076.000
19;ANIM3;ON NM;ANIMA ON NM;Diversos;3,88;24/08/2023;2,02;7,30;34.505.900;1.567.010.000;5.735.340.000;30/06/2023;403869000;-2.76;-14.27;-0.27;0.61;6.39;2.75;57.4;0.43;15.7;0.16;1.1;11.95;5.7;-0.31;6.4;0.0;-4.3;5.07;1.07;10.06;39.5;10.056.000.000;984.511.000;1.937.680.000;5.152.840.000;4.168.330.000;2.579.940.000;-109.794.000;-101.811.000
20;APER3;ON;ALPER S.A. ON;Previdência e Seguros;31,00;24/08/2023;20,26;32,13;719.781;606.422.000;526.192.000;30/06/2023;19562000;4.77;22.90;1.35;1.28;24.28;11.53;100.0;2.13;18.5;0.82;9.2;33.05;7.1;-6.53;8.2;1.0;5.6;7.04;1.12;10.00;35.0;736.261.000;80.230.000;168.315.000;0;-80.230.000;474.937.000;26.477.000;6.426.000
21;ARML3;ON NM;ARMAC ON NM;Diversos;13,55;24/08/2023;9,35;16,42;9.116.330;4.688.520.000;6.063.370.000;30/06/2023;346016000;-2.80;29.40;0.46;3.99;3.40;12.09;48.4;4.14;34.2;1.25;14.1;6.12;10.3;-3.32;14.2;2.5;13.6;10.97;2.90;15.63;64.7;3.757.750.000;762.979.000;1.168.760.000;2.137.830.000;1.374.850.000;1.175.250.000;159.447.000;43.435.000
22;ARZZ3;ON NM;AREZZO CO ON NM;Comércio;79,91;24/08/2023;58,96;102,67;123.330.000;8.869.130.000;9.215.120.000;30/06/2023;110989000;-3.56;23.97;3.33;3.19;25.08;18.18;53.4;1.93;10.6;1.63;8.0;8.30;9.0;62.56;11.4;2.0;13.3;13.37;1.63;18.89;35.7;5.435.060.000;682.038.000;2.771.140.000;1.028.030.000;345.987.000;2.783.100.000;369.973.000;100.626.000
